date_stamp,sex,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-09-12,9,1822,1.0662,0,0.0
2020-09-12,1,82381,48.2068,1149,55.6
2020-09-12,2,86688,50.7271,915,44.3
2020-09-13,1,82814,48.197,1157,55.6
2020-09-13,2,87184,50.7403,921,44.3
2020-09-13,9,1826,1.0627,0,0.0
2020-09-14,1,83968,48.1816,1171,55.8
2020-09-14,2,88445,50.7505,926,44.1
2020-09-14,9,1861,1.0679,0,0.0
2020-09-15,9,1865,1.0643,0,0.0
2020-09-15,1,84399,48.1644,1188,55.8
2020-09-15,2,88967,50.7713,939,44.1
2020-09-16,9,1772,1.0006,0,0.0
2020-09-16,1,85312,48.1752,1202,55.8
2020-09-16,2,90003,50.8242,949,44.1
2020-09-17,9,1730,0.9711,0,0.0
2020-09-17,1,85837,48.1851,1210,55.9
2020-09-17,2,90573,50.8437,954,44.0
2020-09-18,1,86915,48.1532,1228,55.9
2020-09-18,2,91863,50.8945,968,44.0
2020-09-18,9,1719,0.9524,0,0.0
2020-09-19,1,87372,48.155,1236,55.7
2020-09-19,2,92368,50.9086,980,44.2
2020-09-19,9,1699,0.9364,0,0.0
2020-09-20,9,1740,0.9482,0,0.0
2020-09-20,1,88307,48.12,1237,55.7
2020-09-20,2,93467,50.9318,981,44.2
2020-09-21,9,1782,0.9663,0,0.0
2020-09-21,1,88698,48.0985,1245,55.7
2020-09-21,2,93929,50.9351,988,44.2
2020-09-22,9,1790,0.9668,0,0.0
2020-09-22,1,89024,48.0826,1260,55.7
2020-09-22,2,94334,50.9506,1001,44.2
2020-09-23,1,89799,48.0957,1271,55.8
2020-09-23,2,95170,50.9724,1004,44.1
2020-09-23,9,1740,0.9319,0,0.0
2020-09-24,1,90167,48.0778,1287,55.7
2020-09-24,2,95639,50.9955,1023,44.2
2020-09-24,9,1738,0.9267,0,0.0
2020-09-25,9,1754,0.9258,0,0.0
2020-09-25,1,91036,48.0518,1312,55.7
2020-09-25,2,96664,51.0224,1040,44.2
2020-09-26,1,91656,48.0148,1327,55.8
2020-09-26,2,97451,51.0506,1047,44.1
2020-09-26,9,1784,0.9346,0,0.0
2020-09-27,9,1800,0.9327,0,0.0
2020-09-27,1,92587,47.9738,1330,55.9
2020-09-27,2,98608,51.0936,1047,44.0
2020-09-28,1,92936,47.9714,1335,55.8
2020-09-28,2,98996,51.0995,1054,44.1
2020-09-28,9,1800,0.9291,0,0.0
2020-09-29,1,93361,47.9731,1347,55.6
2020-09-29,2,99450,51.1019,1073,44.3
2020-09-29,9,1800,0.9249,0,0.0
2020-09-30,9,1771,0.9029,0,0.0
2020-09-30,1,94092,47.9721,1364,55.5
2020-09-30,2,100276,51.125,1090,44.4
2020-10-01,9,1775,0.899,0,0.0
2020-10-01,1,94690,47.9608,1389,55.5
2020-10-01,2,100967,51.1401,1112,44.4
2020-10-02,9,1774,0.8941,1,0.0
2020-10-02,1,95114,47.9398,1396,55.5
2020-10-02,2,101515,51.1661,1118,44.4
2020-10-03,1,95666,47.9301,1417,55.3
2020-10-03,2,102160,51.1836,1143,44.6
2020-10-03,9,1769,0.8863,0,0.0
2020-10-04,1,96394,47.9072,1426,55.3
2020-10-04,2,103031,51.2057,1151,44.6
2020-10-04,9,1785,0.8871,0,0.0
2020-10-05,9,1806,0.8866,0,0.0
2020-10-05,1,97521,47.8751,1438,55.3
2020-10-05,2,104372,51.2383,1159,44.6
2020-10-06,9,1817,0.8847,0,0.0
2020-10-06,1,98319,47.8729,1453,55.4
2020-10-06,2,105239,51.2424,1168,44.5
2020-10-07,9,1799,0.8672,0,0.0
2020-10-07,1,99410,47.9188,1472,55.7
2020-10-07,2,106246,51.214,1170,44.2
2020-10-08,1,100337,47.9057,1505,55.6
2020-10-08,2,107299,51.2297,1200,44.3
2020-10-08,9,1811,0.8647,0,0.0
2020-10-09,1,101043,47.887,1524,55.7
2020-10-09,2,108152,51.2561,1208,44.2
2020-10-09,9,1808,0.8569,0,0.0
2020-10-10,9,1821,0.8563,0,0.0
2020-10-10,1,101809,47.8765,1540,55.8
2020-10-10,2,109019,51.2671,1218,44.1
2020-10-11,9,1835,0.8546,0,0.0
2020-10-11,1,102716,47.8379,1544,55.8
2020-10-11,2,110166,51.3075,1223,44.1
2020-10-12,9,1842,0.8462,0,0.0
2020-10-12,1,104135,47.8381,1551,55.9
2020-10-12,2,111705,51.3157,1223,44.0
2020-10-13,1,104647,47.8214,1564,55.9
2020-10-13,2,112336,51.3351,1233,44.0
2020-10-13,9,1846,0.8436,0,0.0
2020-10-14,1,105413,47.7981,1578,55.7
2020-10-14,2,113288,51.3689,1250,44.2
2020-10-14,9,1837,0.833,0,0.0
2020-10-15,9,1848,0.8293,0,0.0
2020-10-15,1,106445,47.7702,1592,55.5
2020-10-15,2,114534,51.4004,1272,44.4
2020-10-16,9,1862,0.8331,0,0.0
2020-10-16,1,106752,47.7653,1597,55.6
2020-10-16,2,114879,51.4016,1274,44.3
2020-10-17,9,1878,0.8305,0,0.0
2020-10-17,1,107971,47.7454,1613,55.5
2020-10-17,2,116290,51.4241,1290,44.4
2020-10-18,1,109187,47.7333,1618,55.6
2020-10-18,2,117669,51.4413,1291,44.3
2020-10-18,9,1888,0.8254,0,0.0
2020-10-19,1,110680,47.6944,1626,55.6
2020-10-19,2,119467,51.4809,1296,44.3
2020-10-19,9,1914,0.8248,0,0.0
2020-10-20,9,1921,0.8225,0,0.0
2020-10-20,1,111361,47.678,1643,55.6
2020-10-20,2,120287,51.4996,1309,44.3
2020-10-21,9,1912,0.8106,0,0.0
2020-10-21,1,112371,47.6429,1650,55.5
2020-10-21,2,121578,51.5465,1320,44.4
2020-10-22,9,1921,0.8075,0,0.0
2020-10-22,1,113299,47.6232,1678,55.7
2020-10-22,2,122687,51.5693,1333,44.2
2020-10-23,1,114951,47.5962,1713,55.6
2020-10-23,2,124620,51.5997,1363,44.3
2020-10-23,9,1942,0.8041,0,0.0
2020-10-24,1,116114,47.5707,1723,55.5
2020-10-24,2,126011,51.6254,1377,44.4
2020-10-24,9,1962,0.8038,0,0.0
2020-10-25,9,1981,0.8001,0,0.0
2020-10-25,1,117686,47.5332,1738,55.5
2020-10-25,2,127920,51.6667,1393,44.4
2020-10-26,9,1987,0.7952,0,0.0
2020-10-26,1,118752,47.5263,1757,55.5
2020-10-26,2,129127,51.6785,1406,44.4
2020-10-27,9,1996,0.7928,0,0.0
2020-10-27,1,119560,47.487,1785,55.6
2020-10-27,2,130218,51.7202,1422,44.3
2020-10-28,1,120694,47.4762,1807,55.7
2020-10-28,2,131548,51.7457,1434,44.2
2020-10-28,9,1978,0.7781,0,0.0
2020-10-29,1,121925,47.4638,1819,55.7
2020-10-29,2,132959,51.7592,1443,44.2
2020-10-29,9,1996,0.777,1,0.0
2020-10-30,9,2042,0.7869,1,0.0
2020-10-30,1,123097,47.4384,1866,55.8
2020-10-30,2,134349,51.7746,1474,44.1
2020-10-31,9,2050,0.7864,1,0.0
2020-10-31,1,123646,47.4336,1872,55.8
2020-10-31,2,134976,51.78,1480,44.1
2020-11-01,9,2058,0.7872,1,0.0
2020-11-01,1,123990,47.4283,1872,55.8
2020-11-01,2,135378,51.7844,1480,44.1
2020-11-02,1,125353,47.3769,1885,55.7
2020-11-02,2,137152,51.8363,1493,44.1
2020-11-02,9,2082,0.7869,1,0.0
2020-11-03,1,126168,47.368,1923,55.6
2020-11-03,2,138093,51.8451,1530,44.2
2020-11-03,9,2096,0.7869,1,0.0
2020-11-04,9,2089,0.7743,1,0.0
2020-11-04,1,127757,47.3521,1936,55.6
2020-11-04,2,139956,51.8736,1541,44.3
2020-11-05,9,2099,0.7723,2,0.0
2020-11-05,1,128621,47.327,1946,55.4
2020-11-05,2,141051,51.9007,1561,44.4
2020-11-06,9,2121,0.7765,2,0.0
2020-11-06,1,129216,47.3069,1962,55.4
2020-11-06,2,141807,51.9166,1577,44.5
2020-11-07,1,131451,47.248,1989,55.4
2020-11-07,2,144600,51.9742,1599,44.5
2020-11-07,9,2164,0.7778,2,0.0
2020-11-08,1,133081,47.2168,1991,55.3
2020-11-08,2,146588,52.009,1602,44.5
2020-11-08,9,2182,0.7742,2,0.0
2020-11-09,9,2223,0.7725,2,0.0
2020-11-09,1,135727,47.1651,2002,55.4
2020-11-09,2,149820,52.0624,1606,44.4
2020-11-10,9,2239,0.7727,2,0.0
