district_id,school_id,can_submit_covid_data,student_cases,staff_cases,student_cases_prev_week,staff_cases_prev_week,student_cases_inferred,staff_cases_inferred,student_cases_prev_week_inferred,staff_cases_prev_week_inferred,date_stamp,date_cases_updated,op_has_restrictions,op_restrictions,op_restrictions_reason,op_restrictions_active,op_restrictions_end_date,op_last_update,op_model_id,op_model_name,op_model_active
50,70,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,84,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,90,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,93,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,94,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,95,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,110,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,123,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,125,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,138,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,145,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,155,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
50,160,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
51,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
51,6,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
51,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
51,12,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
52,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:40:03.000Z,1,In Person,True
52,15,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:40:12.000Z,1,In Person,True
52,18,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:40:30.000Z,1,In Person,True
52,20,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:40:21.000Z,1,In Person,True
52,25,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:40:41.000Z,1,In Person,True
52,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:39:54.000Z,1,In Person,True
52,35,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-11-22T13:39:19.000Z,1,In Person,True
60,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,18,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,20,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,40,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,50,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,55,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,60,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,65,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,70,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,72,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,75,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,78,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,100,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,102,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
60,105,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,2,Virtual,False
61,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:36:27.000Z,1,In Person,True
61,12,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:35:21.000Z,1,In Person,True
61,18,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:35:53.000Z,1,In Person,True
61,20,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:35:41.000Z,1,In Person,True
61,21,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:36:50.000Z,1,In Person,True
61,22,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:36:04.000Z,1,In Person,True
61,25,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:36:16.000Z,1,In Person,True
61,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:36:39.000Z,1,In Person,True
61,45,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-13T19:35:29.000Z,1,In Person,True
70,2,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,3,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,4,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,2,Virtual,False
70,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,40,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,60,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,65,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,70,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,75,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,77,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,80,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,135,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,140,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,150,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,155,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
70,160,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
80,5,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:31:09.000Z,1,In Person,True
80,16,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:31:21.000Z,1,In Person,True
80,20,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:31:32.000Z,1,In Person,True
80,30,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:31:43.000Z,1,In Person,True
80,35,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:31:55.000Z,1,In Person,True
80,40,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:32:06.000Z,1,In Person,True
80,45,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2022-05-16T14:32:17.000Z,1,In Person,True
90,7,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
92,5,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2021-09-13T20:40:16.000Z,1,In Person,True
92,10,True,,,,,0,0,0,0,2023-03-08,,True,,,,,2021-09-13T20:40:02.000Z,1,In Person,True
93,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-18T15:10:18.000Z,1,In Person,True
93,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
93,15,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-18T15:10:06.000Z,1,In Person,True
94,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
94,10,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
94,15,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
95,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
97,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
97,20,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
97,25,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
100,4,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:18:14.000Z,2,Virtual,False
100,5,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:18:04.000Z,1,In Person,True
100,13,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:17:55.000Z,1,In Person,True
100,15,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:17:45.000Z,1,In Person,True
100,25,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:17:35.000Z,1,In Person,True
100,30,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:17:23.000Z,1,In Person,True
100,35,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
100,40,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:17:05.000Z,1,In Person,True
100,43,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:16:56.000Z,1,In Person,True
100,45,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:16:45.000Z,1,In Person,True
100,50,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:16:21.000Z,1,In Person,True
100,52,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2021-09-08T05:26:05.000Z,1,In Person,True
100,55,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:16:11.000Z,1,In Person,True
100,85,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:15:31.000Z,1,In Person,True
100,90,True,,,,,0,0,0,0,2023-03-08,,False,,,,,2022-04-11T18:15:23.000Z,1,In Person,True
