DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-19-20,Grundy,,,,,,,,,,,,,,,,,,,,
03-19-20,Hamilton,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Henry,,,,,,,,,,,,,,,,,,,,
03-19-20,Hickman,,,,,,,,,,,,,,,,,,,,
03-19-20,Houston,,,,,,,,,,,,,,,,,,,,
03-19-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Knox,2,0,,,,,,,,,,,,,,,,,,
03-19-20,Lawrence,,,,,,,,,,,,,,,,,,,,
03-19-20,Lewis,,,,,,,,,,,,,,,,,,,,
03-19-20,Lincoln,,,,,,,,,,,,,,,,,,,,
03-19-20,Loudon,,,,,,,,,,,,,,,,,,,,
03-19-20,Macon,,,,,,,,,,,,,,,,,,,,
03-19-20,Madison,,,,,,,,,,,,,,,,,,,,
03-19-20,Marion,,,,,,,,,,,,,,,,,,,,
03-19-20,Marshall,,,,,,,,,,,,,,,,,,,,
03-19-20,Maury,,,,,,,,,,,,,,,,,,,,
03-19-20,Montgomery,1,,,,,,,,,,,,,,,,,,,
03-19-20,Out of State,26,,,,,,,,,,,,,,,,,,,
03-19-20,Overton,,,,,,,,,,,,,,,,,,,,
03-19-20,Pending,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Perry,,,,,,,,,,,,,,,,,,,,
03-19-20,Polk,,,,,,,,,,,,,,,,,,,,
03-19-20,Robertson,2,1,,,,,,,,,,,,,,,,,,
03-19-20,Rutherford,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Sevier,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Shelby,4,0,,,,,,,,,,,,,,,,,,
03-19-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-19-20,Sumner,3,1,,,,,,,,,,,,,,,,,,
03-19-20,Tipton,,,,,,,,,,,,,,,,,,,,
03-19-20,Washington,,,,,,,,,,,,,,,,,,,,
03-19-20,Williamson,30,6,,,,,,,,,,,,,,,,,,
03-19-20,Wilson,1,,,,,,,,,,,,,,,,,,,
03-20-20,Anderson,1,,,,,,,,,,,,,,,,,,,
03-20-20,Blount,1,,,,,,,,,,,,,,,,,,,
03-20-20,Bradley,1,,,,,,,,,,,,,,,,,,,
03-20-20,Campbell,1,0,,,,,,,,,,,,,,,,,,
03-20-20,Cheatham,2,1,,,,,,,,,,,,,,,,,,
03-20-20,Claiborne,,,,,,,,,,,,,,,,,,,,
03-20-20,Cumberland,2,1,,,,,,,,,,,,,,,,,,
03-20-20,Davidson,101,26,,,,,,,,,,,,,,,,,,
03-20-20,Dickson,2,,,,,,,,,,,,,,,,,,,
03-20-20,Dyer,1,0,,,,,,,,,,,,,,,,,,
03-20-20,Franklin,,,,,,,,,,,,,,,,,,,,
03-20-20,Greene,1,,,,,,,,,,,,,,,,,,,
03-20-20,Grundy,,,,,,,,,,,,,,,,,,,,
