DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-23-20,Cheatham,4,0,,,,,,,,,,,,,,
03-23-20,Chester,1,0,,,,,,,,,,,,,,
03-23-20,Claiborne,1,,,,,,,,,,,,,,,
03-23-20,Cocke,1,0,,,,,,,,,,,,,,
03-23-20,Cumberland,2,0,,,,,,,,,,,,,,
03-23-20,Davidson,164,-3,,,,,,,,,,,,,,
03-23-20,Dekalb,1,,,,,,,,,,,,,,,
03-23-20,Dickson,5,1,,,,,,,,,,,,,,
03-23-20,Dyer,2,0,,,,,,,,,,,,,,
03-23-20,Fayette,2,-1,,,,,,,,,,,,,,
03-23-20,Franklin,1,0,,,,,,,,,,,,,,
03-23-20,Gibson,1,0,,,,,,,,,,,,,,
03-23-20,Greene,4,2,,,,,,,,,,,,,,
03-23-20,Hamblen,3,1,,,,,,,,,,,,,,
03-23-20,Hamilton,12,4,,,,,,,,,,,,,,
03-23-20,Hardin,1,,,,,,,,,,,,,,,
03-23-20,Houston,1,0,,,,,,,,,,,,,,
03-23-20,Jefferson,3,1,,,,,,,,,,,,,,
03-23-20,Knox,12,7,,,,,,,,,,,,,,
03-23-20,Lincoln,1,,,,,,,,,,,,,,,
03-23-20,Loudon,1,0,,,,,,,,,,,,,,
03-23-20,Marion,1,0,,,,,,,,,,,,,,
03-23-20,Maury,6,4,,,,,,,,,,,,,,
03-23-20,McMinn,2,1,,,,,,,,,,,,,,
03-23-20,Monroe,2,-1,,,,,,,,,,,,,,
03-23-20,Montgomery,3,0,,,,,,,,,,,,,,
03-23-20,Out of State,89,7,,,,,,,,,,,,,,
03-23-20,Pending,54,24,,,,,,,,,,,,,,
03-23-20,Perry,2,1,,,,,,,,,,,,,,
03-23-20,Putnam,6,0,,,,,,,,,,,,,,
03-23-20,Roane,1,0,,,,,,,,,,,,,,
03-23-20,Robertson,6,3,,,,,,,,,,,,,,
03-23-20,Rutherford,9,1,,,,,,,,,,,,,,
03-23-20,Scott,1,-1,,,,,,,,,,,,,,
03-23-20,Sevier,1,0,,,,,,,,,,,,,,
03-23-20,Shelby,93,27,,,,,,,,,,,,,,
03-23-20,Sullivan,2,1,,,,,,,,,,,,,,
03-23-20,Sumner,34,12,,,,,,,,,,,,,,
03-23-20,Tipton,6,1,,,,,,,,,,,,,,
03-23-20,Washington,6,4,,,,,,,,,,,,,,
03-23-20,Weakley,1,,,,,,,,,,,,,,,
03-23-20,Williamson,53,5,,,,,,,,,,,,,,
03-23-20,Wilson,6,4,,,,,,,,,,,,,,
03-24-20,Anderson,1,0,,,,,,,,,,,,,,
03-24-20,Blount,3,1,,,,,,,,,,,,,,
03-24-20,Bradley,2,1,,,,,,,,,,,,,,
03-24-20,Campbell,2,0,,,,,,,,,,,,,,
03-24-20,Carroll,3,1,,,,,,,,,,,,,,
03-24-20,Cheatham,5,1,,,,,,,,,,,,,,
03-24-20,Chester,1,0,,,,,,,,,,,,,,
03-24-20,Claiborne,1,0,,,,,,,,,,,,,,
03-24-20,Cocke,1,0,,,,,,,,,,,,,,
03-24-20,Cumberland,3,1,,,,,,,,,,,,,,
03-24-20,Davidson,183,19,,,,,,,,,,,,,,
03-24-20,Dekalb,1,0,,,,,,,,,,,,,,
03-24-20,Dickson,5,0,,,,,,,,,,,,,,
03-24-20,Dyer,2,0,,,,,,,,,,,,,,
03-24-20,Fayette,2,0,,,,,,,,,,,,,,
03-24-20,Franklin,1,0,,,,,,,,,,,,,,
03-24-20,Gibson,2,1,,,,,,,,,,,,,,
03-24-20,Greene,5,1,,,,,,,,,,,,,,
03-24-20,Grundy,1,,,,,,,,,,,,,,,
03-24-20,Hamblen,2,-1,,,,,,,,,,,,,,
03-24-20,Hamilton,8,-4,,,,,,,,,,,,,,
03-24-20,Hardin,1,0,,,,,,,,,,,,,,
03-24-20,Houston,1,0,,,,,,,,,,,,,,
03-24-20,Jefferson,4,1,,,,,,,,,,,,,,
03-24-20,Knox,15,3,,,,,,,,,,,,,,
03-24-20,Lincoln,1,0,,,,,,,,,,,,,,
03-24-20,Loudon,2,1,,,,,,,,,,,,,,
03-24-20,Madison,1,,,,,,,,,,,,,,,
03-24-20,Marion,1,0,,,,,,,,,,,,,,
03-24-20,Maury,6,0,,,,,,,,,,,,,,
03-24-20,McMinn,2,0,,,,,,,,,,,,,,
03-24-20,Monroe,2,0,,,,,,,,,,,,,,
03-24-20,Montgomery,6,3,,,,,,,,,,,,,,
03-24-20,Out of State,95,6,,,,,,,,,,,,,,
03-24-20,Overton,1,,,,,,,,,,,,,,,
03-24-20,Pending,38,-16,,,,,,,,,,,,,,
03-24-20,Perry,1,-1,,,,,,,,,,,,,,
03-24-20,Putnam,8,2,,,,,,,,,,,,,,
03-24-20,Roane,1,0,,,,,,,,,,,,,,
03-24-20,Robertson,12,6,,,,,,,,,,,,,,
03-24-20,Rutherford,13,4,,,,,,,,,,,,,,
03-24-20,Scott,1,0,,,,,,,,,,,,,,
03-24-20,Sevier,2,1,,,,,,,,,,,,,,
03-24-20,Shelby,99,6,,,,,,,,,,,,,,
03-24-20,Sullivan,2,0,,,,,,,,,,,,,,
03-24-20,Sumner,34,0,,,,,,,,,,,,,,
03-24-20,Tipton,6,0,,,,,,,,,,,,,,
03-24-20,Washington,7,1,,,,,,,,,,,,,,
03-24-20,Williamson,64,11,,,,,,,,,,,,,,
03-24-20,Wilson,7,1,,,,,,,,,,,,,,
03-25-20,Anderson,3,2,,,,,,,,,,,,,,
03-25-20,Bedford,1,,,,,,,,,,,,,,,
03-25-20,Blount,3,0,,,,,,,,,,,,,,
03-25-20,Bradley,3,1,,,,,,,,,,,,,,
03-25-20,Campbell,2,0,,,,,,,,,,,,,,
03-25-20,Carroll,3,0,,,,,,,,,,,,,,
03-25-20,Cheatham,7,2,,,,,,,,,,,,,,
03-25-20,Chester,1,0,,,,,,,,,,,,,,
03-25-20,Claiborne,1,0,,,,,,,,,,,,,,
03-25-20,Cocke,1,0,,,,,,,,,,,,,,
03-25-20,Cumberland,3,0,,,,,,,,,,,,,,
03-25-20,Davidson,188,5,,,,,,,,,,,,,,
03-25-20,Dekalb,1,0,,,,,,,,,,,,,,
03-25-20,Dickson,5,0,,,,,,,,,,,,,,
03-25-20,Dyer,2,0,,,,,,,,,,,,,,
03-25-20,Fayette,3,1,,,,,,,,,,,,,,
03-25-20,Franklin,1,0,,,,,,,,,,,,,,
03-25-20,Gibson,2,0,,,,,,,,,,,,,,
03-25-20,Greene,7,2,,,,,,,,,,,,,,
03-25-20,Grundy,1,0,,,,,,,,,,,,,,
03-25-20,Hamblen,2,0,,,,,,,,,,,,,,
03-25-20,Hamilton,15,7,,,,,,,,,,,,,,
03-25-20,Hardin,1,0,,,,,,,,,,,,,,
03-25-20,Hawkins,1,,,,,,,,,,,,,,,
03-25-20,Houston,3,2,,,,,,,,,,,,,,
03-25-20,Jefferson,4,0,,,,,,,,,,,,,,
03-25-20,Knox,20,5,,,,,,,,,,,,,,
03-25-20,Lewis,1,,,,,,,,,,,,,,,
03-25-20,Lincoln,1,0,,,,,,,,,,,,,,
03-25-20,Loudon,3,1,,,,,,,,,,,,,,
03-25-20,Madison,2,1,,,,,,,,,,,,,,
03-25-20,Marion,1,0,,,,,,,,,,,,,,
03-25-20,Maury,7,1,,,,,,,,,,,,,,
03-25-20,McMinn,2,0,,,,,,,,,,,,,,
03-25-20,Monroe,2,0,,,,,,,,,,,,,,
03-25-20,Montgomery,6,0,,,,,,,,,,,,,,
03-25-20,Out of State,100,5,,,,,,,,,,,,,,
03-25-20,Overton,1,0,,,,,,,,,,,,,,
03-25-20,Pending,81,43,,,,,,,,,,,,,,
03-25-20,Perry,1,0,,,,,,,,,,,,,,
03-25-20,Putnam,9,1,,,,,,,,,,,,,,
03-25-20,Roane,1,0,,,,,,,,,,,,,,
03-25-20,Robertson,15,3,,,,,,,,,,,,,,
03-25-20,Rutherford,19,6,,,,,,,,,,,,,,
03-25-20,Scott,1,0,,,,,,,,,,,,,,
03-25-20,Sevier,2,0,,,,,,,,,,,,,,
03-25-20,Shelby,117,18,,,,,,,,,,,,,,
03-25-20,Sullivan,2,0,,,,,,,,,,,,,,
03-25-20,Sumner,36,2,,,,,,,,,,,,,,
03-25-20,Tipton,6,0,,,,,,,,,,,,,,
03-25-20,Washington,7,0,,,,,,,,,,,,,,
03-25-20,White,1,,,,,,,,,,,,,,,
03-25-20,Williamson,66,2,,,,,,,,,,,,,,
03-25-20,Wilson,10,3,,,,,,,,,,,,,,
03-26-20,Anderson,3,0,,,,,,,,,,,,,,
03-26-20,Bedford,1,0,,,,,,,,,,,,,,
03-26-20,Benton,1,,,,,,,,,,,,,,,
03-26-20,Blount,4,1,,,,,,,,,,,,,,
03-26-20,Bradley,5,2,,,,,,,,,,,,,,
03-26-20,Campbell,2,0,,,,,,,,,,,,,,
03-26-20,Cannon,1,,,,,,,,,,,,,,,
03-26-20,Carroll,3,0,,,,,,,,,,,,,,
03-26-20,Cheatham,7,0,,,,,,,,,,,,,,
03-26-20,Chester,2,1,,,,,,,,,,,,,,
03-26-20,Claiborne,2,1,,,,,,,,,,,,,,
03-26-20,Cocke,1,0,,,,,,,,,,,,,,
03-26-20,Cumberland,6,3,,,,,,,,,,,,,,
03-26-20,Davidson,203,15,,,,,,,,,,,,,,
03-26-20,Dekalb,2,1,,,,,,,,,,,,,,
03-26-20,Dickson,7,2,,,,,,,,,,,,,,
03-26-20,Dyer,3,1,,,,,,,,,,,,,,
03-26-20,Fayette,3,0,,,,,,,,,,,,,,
03-26-20,Franklin,3,2,,,,,,,,,,,,,,
03-26-20,Gibson,2,0,,,,,,,,,,,,,,
