Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
12/02/2022,Orange,108,132036,2133,1980386,4.15%,COUNTY
12/02/2022,Orleans,5,10187,80,159045,7.14%,COUNTY
12/02/2022,Oswego,21,33353,376,534976,5.48%,COUNTY
12/02/2022,Otsego,2,12777,117,313425,1.74%,COUNTY
12/02/2022,Putnam,26,29941,340,493605,6.94%,COUNTY
12/02/2022,Queens,1037,821424,12033,14819423,7.74%,COUNTY
12/02/2022,Rensselaer,29,40339,336,879170,8.79%,COUNTY
12/02/2022,Richmond,160,201893,2117,3703354,6.54%,COUNTY
12/02/2022,Rockland,101,113121,6821,2374442,1.01%,COUNTY
12/02/2022,STATEWIDE,6056,6299120,93186,123520950,5.63%,STATEWIDE
12/02/2022,Saratoga,40,59253,574,1081524,6.94%,COUNTY
12/02/2022,Schenectady,18,42051,461,841443,3.56%,COUNTY
12/02/2022,Schoharie,3,6341,77,121960,4.23%,COUNTY
12/02/2022,Schuyler,2,4231,66,100226,5.88%,COUNTY
12/02/2022,Seneca,5,7364,102,140226,4.12%,COUNTY
12/02/2022,Southern Tier,112,171627,1965,5989945,6.13%,REGION
12/02/2022,St. Lawrence,7,25570,156,622208,4.64%,COUNTY
12/02/2022,Steuben,14,24547,323,478992,4.07%,COUNTY
12/02/2022,Suffolk,711,537611,7380,8547869,8.40%,COUNTY
12/02/2022,Sullivan,12,23367,612,379862,1.37%,COUNTY
12/02/2022,Tioga,10,13592,169,235506,6.13%,COUNTY
12/02/2022,Tompkins,16,25627,252,3061870,6.50%,COUNTY
12/02/2022,Ulster,29,40983,474,870905,5.74%,COUNTY
12/02/2022,Warren,17,18122,231,342085,6.52%,COUNTY
12/02/2022,Washington,10,15142,189,289690,6.12%,COUNTY
12/02/2022,Wayne,7,21110,223,385241,2.86%,COUNTY
12/02/2022,Westchester,367,318303,4243,5895738,7.69%,COUNTY
12/02/2022,Western New York,140,375303,2060,6238296,6.43%,REGION
12/02/2022,Wyoming,6,9709,50,158663,8.51%,COUNTY
12/02/2022,Yates,1,4300,42,92144,2.56%,COUNTY
12/01/2022,Albany,57,75771,618,1407623,8.57%,COUNTY
12/01/2022,Allegany,2,10434,95,249495,3.33%,COUNTY
12/01/2022,Bronx,693,484180,8037,8893478,8.23%,COUNTY
12/01/2022,Broome,46,56502,538,1188084,8.10%,COUNTY
12/01/2022,Capital Region,173,274177,2726,5275063,6.49%,REGION
12/01/2022,Cattaraugus,6,18692,95,308556,6.33%,COUNTY
12/01/2022,Cayuga,7,19691,202,397058,3.65%,COUNTY
12/01/2022,Central New York,83,220240,2472,4419689,3.08%,REGION
12/01/2022,Chautauqua,15,28463,271,531123,4.18%,COUNTY
12/01/2022,Chemung,19,25887,428,484873,6.33%,COUNTY
12/01/2022,Chenango,8,11453,116,238017,8.24%,COUNTY
12/01/2022,Clinton,15,21600,170,406284,8.51%,COUNTY
12/01/2022,Columbia,5,13153,56,253525,9.43%,COUNTY
12/01/2022,Cortland,11,12876,177,307619,6.21%,COUNTY
12/01/2022,Delaware,4,9718,118,201222,3.85%,COUNTY
12/01/2022,Dutchess,78,80415,615,1487243,11.99%,COUNTY
12/01/2022,Erie,88,259844,1194,4240709,8.24%,COUNTY
12/01/2022,Essex,4,7359,91,165724,5.63%,COUNTY
12/01/2022,Finger Lakes,142,292747,3662,5651271,3.90%,REGION
12/01/2022,Franklin,5,11702,96,218681,5.75%,COUNTY
12/01/2022,Fulton,12,16012,145,231845,6.84%,COUNTY
12/01/2022,Genesee,4,16079,109,275610,3.85%,COUNTY
12/01/2022,Greene,10,10460,67,181794,14.06%,COUNTY
12/01/2022,Hamilton,0,1057,9,20315,0.00%,COUNTY
12/01/2022,Herkimer,9,16901,185,327328,4.85%,COUNTY
12/01/2022,Jefferson,23,25774,319,409687,5.51%,COUNTY
12/01/2022,Kings,886,867055,10682,18793548,7.64%,COUNTY
12/01/2022,Lewis,4,7096,65,104515,5.45%,COUNTY
12/01/2022,Livingston,7,13924,131,286448,5.56%,COUNTY
12/01/2022,Long Island,1457,1056864,13859,16987139,9.55%,REGION
12/01/2022,Madison,4,16278,151,373314,3.23%,COUNTY
12/01/2022,Mid-Hudson,808,737523,9878,13467558,8.31%,REGION
12/01/2022,Mohawk Valley,52,133166,1339,2750087,4.69%,REGION
12/01/2022,Monroe,95,185010,2530,3671376,3.86%,COUNTY
12/01/2022,Montgomery,2,14521,90,224012,1.30%,COUNTY
12/01/2022,Nassau,666,519964,6531,8446650,9.48%,COUNTY
12/01/2022,New York,540,558163,8658,14509830,6.32%,COUNTY
12/01/2022,New York City,3188,2931518,38647,60705483,7.79%,REGION
12/01/2022,Niagara,23,57730,232,906353,11.22%,COUNTY
12/01/2022,North Country,57,100151,965,1947258,5.35%,REGION
12/01/2022,Oneida,18,66619,721,1531711,4.15%,COUNTY
12/01/2022,Onondaga,46,138063,1633,2807098,2.28%,COUNTY
12/01/2022,Ontario,12,25088,287,483015,4.40%,COUNTY
12/01/2022,Orange,124,131928,1246,1978253,9.55%,COUNTY
12/01/2022,Orleans,4,10182,86,158965,2.44%,COUNTY
12/01/2022,Oswego,15,33332,309,534600,5.03%,COUNTY
12/01/2022,Otsego,6,12775,119,313308,6.00%,COUNTY
12/01/2022,Putnam,29,29915,391,493265,7.67%,COUNTY
12/01/2022,Queens,924,820387,9312,14807390,9.32%,COUNTY
12/01/2022,Rensselaer,31,40310,326,878834,7.96%,COUNTY
12/01/2022,Richmond,145,201733,1958,3701237,6.29%,COUNTY
12/01/2022,Rockland,119,113020,1400,2367621,8.03%,COUNTY
12/01/2022,STATEWIDE,6207,6293064,77384,123427764,7.53%,STATEWIDE
12/01/2022,Saratoga,25,59213,633,1080950,4.07%,COUNTY
