Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
06/09/2021,New York,32,138092,15597,5792582,0.21%,COUNTY
06/09/2021,New York City,302,936347,72688,24640169,0.42%,REGION
06/09/2021,Niagara,2,20019,1103,478203,0.18%,COUNTY
06/09/2021,North Country,12,24847,2483,955145,0.48%,REGION
06/09/2021,Oneida,7,22582,1661,833130,0.42%,COUNTY
06/09/2021,Onondaga,16,38875,3147,1571342,0.51%,COUNTY
06/09/2021,Ontario,1,7402,574,250717,0.17%,COUNTY
06/09/2021,Orange,11,48268,1889,817860,0.58%,COUNTY
06/09/2021,Orleans,0,3117,214,79123,0.00%,COUNTY
06/09/2021,Oswego,3,7607,554,277494,0.54%,COUNTY
06/09/2021,Otsego,0,3458,554,170720,0.00%,COUNTY
06/09/2021,Putnam,2,10602,547,235028,0.37%,COUNTY
06/09/2021,Queens,67,271906,18631,6306802,0.36%,COUNTY
06/09/2021,Rensselaer,3,11220,753,473155,0.40%,COUNTY
06/09/2021,Richmond,24,74395,4663,1666681,0.51%,COUNTY
06/09/2021,Rockland,5,46920,1916,860842,0.26%,COUNTY
06/09/2021,STATEWIDE,566,2090563,139492,57019027,0.41%,STATEWIDE
06/09/2021,Saratoga,1,15350,1219,506605,0.08%,COUNTY
06/09/2021,Schenectady,2,13186,770,420707,0.26%,COUNTY
06/09/2021,Schoharie,0,1692,87,61259,0.00%,COUNTY
06/09/2021,Schuyler,1,1070,140,44498,0.71%,COUNTY
06/09/2021,Seneca,1,2009,117,67406,0.85%,COUNTY
06/09/2021,Southern Tier,13,48403,4173,3851418,0.32%,REGION
06/09/2021,St. Lawrence,4,6626,793,333580,0.50%,COUNTY
06/09/2021,Steuben,3,6942,483,221671,0.62%,COUNTY
06/09/2021,Suffolk,34,200858,10412,4225175,0.33%,COUNTY
06/09/2021,Sullivan,2,6668,312,135544,0.64%,COUNTY
06/09/2021,Tioga,1,3821,218,112661,0.46%,COUNTY
06/09/2021,Tompkins,0,4344,933,2386126,0.00%,COUNTY
06/09/2021,Ulster,1,13894,998,440274,0.10%,COUNTY
06/09/2021,Warren,1,3657,362,148706,0.28%,COUNTY
06/09/2021,Washington,3,3155,288,132206,1.04%,COUNTY
06/09/2021,Wayne,2,5768,485,191147,0.41%,COUNTY
06/09/2021,Westchester,27,129579,5963,2940770,0.45%,COUNTY
06/09/2021,Western New York,27,127757,7158,3431345,0.38%,REGION
06/09/2021,Wyoming,0,3578,282,84592,0.00%,COUNTY
06/09/2021,Yates,0,1178,118,46461,0.00%,COUNTY
06/08/2021,Albany,4,24682,985,728771,0.41%,COUNTY
06/08/2021,Allegany,4,3555,302,159826,1.32%,COUNTY
06/08/2021,Bronx,44,176381,10318,3795169,0.43%,COUNTY
06/08/2021,Broome,0,18600,1500,622389,0.00%,COUNTY
06/08/2021,Capital Region,12,78703,3447,2637210,0.35%,REGION
06/08/2021,Cattaraugus,1,5717,583,161518,0.17%,COUNTY
06/08/2021,Cayuga,1,6332,306,197863,0.33%,COUNTY
06/08/2021,Central New York,16,61266,3244,2425177,0.50%,REGION
06/08/2021,Chautauqua,2,8940,355,311899,0.56%,COUNTY
06/08/2021,Chemung,1,7750,429,237161,0.23%,COUNTY
06/08/2021,Chenango,3,3492,220,120230,1.36%,COUNTY
06/08/2021,Clinton,0,4835,171,210106,0.00%,COUNTY
06/08/2021,Columbia,2,4061,209,139754,0.96%,COUNTY
06/08/2021,Cortland,2,3915,350,178119,0.57%,COUNTY
06/08/2021,Delaware,2,2376,148,104283,1.35%,COUNTY
06/08/2021,Dutchess,5,29457,1746,768669,0.29%,COUNTY
06/08/2021,Erie,13,89501,4640,2313844,0.28%,COUNTY
06/08/2021,Essex,0,1592,130,78110,0.00%,COUNTY
06/08/2021,Finger Lakes,31,101816,6347,3063391,0.49%,REGION
06/08/2021,Franklin,0,2558,58,93967,0.00%,COUNTY
06/08/2021,Fulton,4,4419,288,112218,1.39%,COUNTY
06/08/2021,Genesee,0,5432,289,146615,0.00%,COUNTY
06/08/2021,Greene,0,3402,172,90698,0.00%,COUNTY
06/08/2021,Hamilton,0,313,1,9886,0.00%,COUNTY
06/08/2021,Herkimer,0,5182,288,164621,0.00%,COUNTY
06/08/2021,Jefferson,5,6113,499,175024,1.00%,COUNTY
06/08/2021,Kings,64,275394,18579,7045138,0.34%,COUNTY
06/08/2021,Lewis,1,2802,193,52782,0.52%,COUNTY
06/08/2021,Livingston,2,4515,361,167889,0.55%,COUNTY
06/08/2021,Long Island,45,384292,14890,8321946,0.30%,REGION
06/08/2021,Madison,2,4556,351,204060,0.57%,COUNTY
06/08/2021,Mid-Hudson,55,285340,11723,6187362,0.47%,REGION
06/08/2021,Mohawk Valley,10,41580,2641,1452874,0.38%,REGION
06/08/2021,Monroe,26,68821,4290,2031231,0.61%,COUNTY
06/08/2021,Montgomery,0,4254,234,113228,0.00%,COUNTY
06/08/2021,Nassau,19,183468,6907,4107183,0.28%,COUNTY
06/08/2021,New York,33,138060,11529,5776985,0.29%,COUNTY
06/08/2021,New York City,210,936045,59024,24567481,0.36%,REGION
06/08/2021,Niagara,2,20017,1101,477100,0.18%,COUNTY
06/08/2021,North Country,9,24835,1411,952662,0.64%,REGION
06/08/2021,Oneida,6,22575,1446,831469,0.41%,COUNTY
06/08/2021,Onondaga,10,38859,1691,1568195,0.60%,COUNTY
06/08/2021,Ontario,1,7401,371,250143,0.27%,COUNTY
06/08/2021,Orange,11,48257,2155,815971,0.51%,COUNTY
06/08/2021,Orleans,0,3117,200,78909,0.00%,COUNTY
06/08/2021,Oswego,1,7604,546,276940,0.18%,COUNTY
06/08/2021,Otsego,0,3458,279,170166,0.00%,COUNTY
06/08/2021,Putnam,0,10600,441,234481,0.00%,COUNTY
06/08/2021,Queens,50,271839,14403,6288171,0.35%,COUNTY
06/08/2021,Rensselaer,0,11217,425,472402,0.00%,COUNTY
06/08/2021,Richmond,19,74371,4195,1662018,0.45%,COUNTY
06/08/2021,Rockland,6,46915,1270,858926,0.47%,COUNTY
06/08/2021,STATEWIDE,426,2089997,113709,56879535,0.37%,STATEWIDE
06/08/2021,Saratoga,2,15349,611,505386,0.33%,COUNTY
06/08/2021,Schenectady,2,13184,566,419937,0.35%,COUNTY
06/08/2021,Schoharie,0,1692,106,61172,0.00%,COUNTY
06/08/2021,Schuyler,3,1069,79,44358,3.80%,COUNTY
06/08/2021,Seneca,0,2008,99,67289,0.00%,COUNTY
06/08/2021,Southern Tier,16,48390,4001,3847245,0.40%,REGION
06/08/2021,St. Lawrence,3,6622,359,332787,0.84%,COUNTY
06/08/2021,Steuben,1,6939,392,221188,0.26%,COUNTY
06/08/2021,Suffolk,26,200824,7983,4214763,0.33%,COUNTY
06/08/2021,Sullivan,5,6666,327,135232,1.53%,COUNTY
06/08/2021,Tioga,3,3820,416,112443,0.72%,COUNTY
06/08/2021,Tompkins,3,4344,817,2385193,0.37%,COUNTY
06/08/2021,Ulster,2,13893,947,439276,0.21%,COUNTY
06/08/2021,Warren,0,3656,161,148344,0.00%,COUNTY
06/08/2021,Washington,2,3152,318,131918,0.63%,COUNTY
06/08/2021,Wayne,1,5766,412,190662,0.24%,COUNTY
06/08/2021,Westchester,26,129552,4837,2934807,0.54%,COUNTY
06/08/2021,Western New York,22,127730,6981,3424187,0.32%,REGION
06/08/2021,Wyoming,1,3578,287,84310,0.35%,COUNTY
06/08/2021,Yates,0,1178,38,46343,0.00%,COUNTY
06/07/2021,Albany,3,24678,996,727786,0.30%,COUNTY
06/07/2021,Allegany,2,3551,47,159524,4.26%,COUNTY
06/07/2021,Bronx,55,176337,6139,3784851,0.90%,COUNTY
06/07/2021,Broome,1,18600,423,620889,0.24%,COUNTY
06/07/2021,Capital Region,15,78691,3726,2633763,0.40%,REGION
06/07/2021,Cattaraugus,0,5716,221,160935,0.00%,COUNTY
06/07/2021,Cayuga,2,6331,202,197557,0.99%,COUNTY
06/07/2021,Central New York,17,61250,1970,2421933,0.86%,REGION
06/07/2021,Chautauqua,2,8938,727,311544,0.28%,COUNTY
06/07/2021,Chemung,4,7749,209,236732,1.91%,COUNTY
06/07/2021,Chenango,1,3489,77,120010,1.30%,COUNTY
06/07/2021,Clinton,1,4835,138,209935,0.72%,COUNTY
06/07/2021,Columbia,0,4059,185,139545,0.00%,COUNTY
06/07/2021,Cortland,2,3913,111,177769,1.80%,COUNTY
06/07/2021,Delaware,0,2374,121,104135,0.00%,COUNTY
06/07/2021,Dutchess,4,29452,921,766923,0.43%,COUNTY
06/07/2021,Erie,16,89488,2625,2309204,0.61%,COUNTY
06/07/2021,Essex,1,1592,129,77980,0.78%,COUNTY
06/07/2021,Finger Lakes,33,101785,3829,3057044,0.86%,REGION
06/07/2021,Franklin,1,2558,98,93909,1.02%,COUNTY
06/07/2021,Fulton,0,4415,196,111930,0.00%,COUNTY
06/07/2021,Genesee,0,5432,590,146326,0.00%,COUNTY
06/07/2021,Greene,0,3402,162,90526,0.00%,COUNTY
06/07/2021,Hamilton,0,313,16,9885,0.00%,COUNTY
06/07/2021,Herkimer,2,5182,258,164333,0.78%,COUNTY
06/07/2021,Jefferson,7,6108,227,174525,3.08%,COUNTY
06/07/2021,Kings,59,275330,9510,7026559,0.62%,COUNTY
06/07/2021,Lewis,1,2801,95,52589,1.05%,COUNTY
06/07/2021,Livingston,1,4513,119,167528,0.84%,COUNTY
06/07/2021,Long Island,59,384247,11030,8307056,0.53%,REGION
06/07/2021,Madison,1,4554,244,203709,0.41%,COUNTY
06/07/2021,Mid-Hudson,39,285285,8618,6175639,0.45%,REGION
06/07/2021,Mohawk Valley,11,41570,2211,1450233,0.50%,REGION
06/07/2021,Monroe,27,68795,2248,2026941,1.20%,COUNTY
06/07/2021,Montgomery,0,4254,229,112994,0.00%,COUNTY
06/07/2021,Nassau,27,183449,5086,4100276,0.53%,COUNTY
06/07/2021,New York,37,138027,6967,5765456,0.53%,COUNTY
06/07/2021,New York City,221,935835,33548,24508457,0.66%,REGION
06/07/2021,Niagara,4,20015,532,475999,0.75%,COUNTY
06/07/2021,North Country,11,24826,919,951251,1.20%,REGION
06/07/2021,Oneida,8,22569,1134,830023,0.71%,COUNTY
06/07/2021,Onondaga,10,38849,1056,1566504,0.95%,COUNTY
06/07/2021,Ontario,3,7400,275,249772,1.09%,COUNTY
06/07/2021,Orange,9,48246,1076,813816,0.84%,COUNTY
06/07/2021,Orleans,0,3117,172,78709,0.00%,COUNTY
06/07/2021,Oswego,2,7603,357,276394,0.56%,COUNTY
06/07/2021,Otsego,1,3458,317,169887,0.32%,COUNTY
06/07/2021,Putnam,1,10600,321,234040,0.31%,COUNTY
06/07/2021,Queens,55,271789,8288,6273768,0.66%,COUNTY
06/07/2021,Rensselaer,2,11217,484,471977,0.41%,COUNTY
06/07/2021,Richmond,15,74352,2644,1657823,0.57%,COUNTY
06/07/2021,Rockland,4,46909,1631,857656,0.25%,COUNTY
06/07/2021,STATEWIDE,442,2089571,71953,56765826,0.62%,STATEWIDE
06/07/2021,Saratoga,5,15347,648,504775,0.77%,COUNTY
06/07/2021,Schenectady,2,13182,481,419371,0.42%,COUNTY
06/07/2021,Schoharie,0,1692,77,61066,0.00%,COUNTY
06/07/2021,Schuyler,0,1066,25,44279,0.00%,COUNTY
06/07/2021,Seneca,0,2008,83,67190,0.00%,COUNTY
06/07/2021,Southern Tier,12,48374,1950,3843244,0.69%,REGION
06/07/2021,St. Lawrence,0,6619,216,332428,0.00%,COUNTY
06/07/2021,Steuben,4,6938,403,220796,0.99%,COUNTY
06/07/2021,Suffolk,32,200798,5944,4206780,0.54%,COUNTY
06/07/2021,Sullivan,0,6661,190,134905,0.00%,COUNTY
06/07/2021,Tioga,2,3817,124,112027,1.61%,COUNTY
06/07/2021,Tompkins,0,4341,568,2384376,0.00%,COUNTY
06/07/2021,Ulster,2,13891,620,438329,0.32%,COUNTY
06/07/2021,Warren,0,3656,385,148183,0.00%,COUNTY
06/07/2021,Washington,3,3150,385,131600,0.78%,COUNTY
06/07/2021,Wayne,1,5765,226,190250,0.44%,COUNTY
06/07/2021,Westchester,19,129526,3859,2929970,0.49%,COUNTY
06/07/2021,Western New York,24,127708,4152,3417206,0.58%,REGION
06/07/2021,Wyoming,1,3577,94,84023,1.06%,COUNTY
06/07/2021,Yates,0,1178,22,46305,0.00%,COUNTY
06/06/2021,Albany,7,24675,571,726790,1.23%,COUNTY
06/06/2021,Allegany,0,3549,139,159477,0.00%,COUNTY
06/06/2021,Bronx,52,176282,5727,3778712,0.91%,COUNTY
06/06/2021,Broome,4,18599,397,620466,1.01%,COUNTY
06/06/2021,Capital Region,22,78676,2537,2630037,0.87%,REGION
06/06/2021,Cattaraugus,0,5716,126,160714,0.00%,COUNTY
06/06/2021,Cayuga,1,6329,101,197355,0.99%,COUNTY
06/06/2021,Central New York,29,61233,1597,2419963,1.82%,REGION
06/06/2021,Chautauqua,5,8936,320,310817,1.56%,COUNTY
06/06/2021,Chemung,5,7745,192,236523,2.60%,COUNTY
06/06/2021,Chenango,5,3488,130,119933,3.85%,COUNTY
06/06/2021,Clinton,1,4834,592,209797,0.17%,COUNTY
06/06/2021,Columbia,0,4059,328,139360,0.00%,COUNTY
06/06/2021,Cortland,3,3911,114,177658,2.63%,COUNTY
06/06/2021,Delaware,2,2374,72,104014,2.78%,COUNTY
06/06/2021,Dutchess,5,29448,931,766002,0.54%,COUNTY
06/06/2021,Erie,26,89472,2179,2306579,1.19%,COUNTY
06/06/2021,Essex,0,1591,74,77851,0.00%,COUNTY
06/06/2021,Finger Lakes,53,101752,4154,3053215,1.28%,REGION
06/06/2021,Franklin,2,2557,238,93811,0.84%,COUNTY
06/06/2021,Fulton,1,4415,104,111734,0.96%,COUNTY
06/06/2021,Genesee,1,5432,97,145736,1.03%,COUNTY
06/06/2021,Greene,1,3402,51,90364,1.96%,COUNTY
06/06/2021,Hamilton,0,313,3,9869,0.00%,COUNTY
06/06/2021,Herkimer,3,5180,115,164075,2.61%,COUNTY
06/06/2021,Jefferson,3,6101,218,174298,1.38%,COUNTY
06/06/2021,Kings,38,275271,9250,7017049,0.41%,COUNTY
06/06/2021,Lewis,0,2800,60,52494,0.00%,COUNTY
06/06/2021,Livingston,2,4512,160,167409,1.25%,COUNTY
06/06/2021,Long Island,69,384188,11648,8296026,0.59%,REGION
06/06/2021,Madison,0,4553,118,203465,0.00%,COUNTY
06/06/2021,Mid-Hudson,45,285246,7235,6167021,0.62%,REGION
06/06/2021,Mohawk Valley,9,41559,1253,1448022,0.72%,REGION
06/06/2021,Monroe,45,68768,2960,2024693,1.52%,COUNTY
06/06/2021,Montgomery,0,4254,102,112765,0.00%,COUNTY
06/06/2021,Nassau,30,183422,5816,4095190,0.52%,COUNTY
06/06/2021,New York,27,137990,6919,5758489,0.39%,COUNTY
06/06/2021,New York City,170,935614,35501,24474909,0.48%,REGION
06/06/2021,Niagara,5,20011,717,475467,0.70%,COUNTY
06/06/2021,North Country,6,24815,1324,950332,0.45%,REGION
06/06/2021,Oneida,3,22561,784,828889,0.38%,COUNTY
06/06/2021,Onondaga,23,38839,1038,1565448,2.22%,COUNTY
06/06/2021,Ontario,0,7397,332,249497,0.00%,COUNTY
06/06/2021,Orange,9,48237,901,812740,1.00%,COUNTY
06/06/2021,Orleans,0,3117,69,78537,0.00%,COUNTY
06/06/2021,Oswego,2,7601,226,276037,0.88%,COUNTY
06/06/2021,Otsego,2,3457,107,169570,1.87%,COUNTY
06/06/2021,Putnam,4,10599,314,233719,1.27%,COUNTY
06/06/2021,Queens,39,271734,11369,6265480,0.34%,COUNTY
06/06/2021,Rensselaer,7,11215,397,471493,1.76%,COUNTY
06/06/2021,Richmond,14,74337,2236,1655179,0.63%,COUNTY
06/06/2021,Rockland,1,46905,1046,856025,0.10%,COUNTY
06/06/2021,STATEWIDE,463,2089129,70635,56693873,0.66%,STATEWIDE
06/06/2021,Saratoga,5,15342,578,504127,0.87%,COUNTY
06/06/2021,Schenectady,2,13180,376,418890,0.53%,COUNTY
06/06/2021,Schoharie,0,1692,41,60989,0.00%,COUNTY
06/06/2021,Schuyler,2,1066,34,44254,5.88%,COUNTY
06/06/2021,Seneca,2,2008,51,67107,3.92%,COUNTY
06/06/2021,Southern Tier,24,48362,1905,3841294,1.79%,REGION
06/06/2021,St. Lawrence,0,6619,139,332212,0.00%,COUNTY
06/06/2021,Steuben,1,6934,295,220393,0.34%,COUNTY
06/06/2021,Suffolk,39,200766,5832,4200836,0.67%,COUNTY
06/06/2021,Sullivan,4,6661,162,134715,2.47%,COUNTY
06/06/2021,Tioga,2,3815,68,111903,2.94%,COUNTY
06/06/2021,Tompkins,3,4341,717,2383808,2.00%,COUNTY
06/06/2021,Ulster,3,13889,536,437709,0.56%,COUNTY
06/06/2021,Warren,0,3656,125,147798,0.00%,COUNTY
06/06/2021,Washington,0,3147,111,131215,0.00%,COUNTY
06/06/2021,Wayne,3,5764,274,190024,1.09%,COUNTY
06/06/2021,Westchester,19,129507,3345,2926111,0.57%,COUNTY
06/06/2021,Western New York,36,127684,3481,3413054,1.03%,REGION
06/06/2021,Wyoming,0,3576,129,83929,0.00%,COUNTY
06/06/2021,Yates,0,1178,82,46283,0.00%,COUNTY
06/05/2021,Albany,7,24668,1074,726219,0.65%,COUNTY
06/05/2021,Allegany,4,3549,149,159338,2.68%,COUNTY
06/05/2021,Bronx,56,176230,10098,3772985,0.55%,COUNTY
06/05/2021,Broome,2,18595,991,620069,0.20%,COUNTY
06/05/2021,Capital Region,26,78654,4620,2627500,0.56%,REGION
06/05/2021,Cattaraugus,1,5716,257,160588,0.39%,COUNTY
06/05/2021,Cayuga,2,6328,274,197254,0.73%,COUNTY
06/05/2021,Central New York,32,61204,3551,2418366,0.91%,REGION
06/05/2021,Chautauqua,0,8931,497,310497,0.00%,COUNTY
06/05/2021,Chemung,4,7740,565,236331,0.71%,COUNTY
06/05/2021,Chenango,5,3483,444,119803,1.13%,COUNTY
06/05/2021,Clinton,0,4833,225,209205,0.00%,COUNTY
06/05/2021,Columbia,2,4059,198,139032,1.01%,COUNTY
06/05/2021,Cortland,6,3908,348,177544,1.72%,COUNTY
06/05/2021,Delaware,6,2372,116,103942,5.17%,COUNTY
06/05/2021,Dutchess,9,29443,1562,765071,0.58%,COUNTY
06/05/2021,Erie,24,89446,4652,2304400,0.52%,COUNTY
06/05/2021,Essex,0,1591,57,77777,0.00%,COUNTY
06/05/2021,Finger Lakes,55,101699,5201,3049061,1.06%,REGION
06/05/2021,Franklin,0,2555,99,93573,0.00%,COUNTY
06/05/2021,Fulton,1,4414,371,111630,0.27%,COUNTY
06/05/2021,Genesee,1,5431,229,145639,0.44%,COUNTY
06/05/2021,Greene,0,3401,125,90313,0.00%,COUNTY
06/05/2021,Hamilton,0,313,18,9866,0.00%,COUNTY
06/05/2021,Herkimer,1,5177,540,163960,0.19%,COUNTY
06/05/2021,Jefferson,3,6098,727,174080,0.41%,COUNTY
06/05/2021,Kings,72,275233,19124,7007799,0.38%,COUNTY
06/05/2021,Lewis,0,2800,119,52434,0.00%,COUNTY
06/05/2021,Livingston,2,4510,235,167249,0.85%,COUNTY
06/05/2021,Long Island,55,384119,15767,8284378,0.35%,REGION
06/05/2021,Madison,1,4553,178,203347,0.56%,COUNTY
06/05/2021,Mid-Hudson,55,285201,12300,6159786,0.45%,REGION
06/05/2021,Mohawk Valley,22,41550,2641,1446769,0.83%,REGION
06/05/2021,Monroe,44,68723,3276,2021733,1.34%,COUNTY
06/05/2021,Montgomery,0,4254,281,112663,0.00%,COUNTY
06/05/2021,Nassau,32,183392,7657,4089374,0.42%,COUNTY
06/05/2021,New York,34,137963,13220,5751570,0.26%,COUNTY
06/05/2021,New York City,240,935444,62179,24439408,0.39%,REGION
06/05/2021,Niagara,3,20006,937,474750,0.32%,COUNTY
06/05/2021,North Country,4,24809,1473,949008,0.27%,REGION
06/05/2021,Oneida,16,22558,1172,828105,1.37%,COUNTY
06/05/2021,Onondaga,18,38816,2384,1564410,0.77%,COUNTY
06/05/2021,Ontario,2,7397,519,249165,0.39%,COUNTY
06/05/2021,Orange,12,48228,1766,811839,0.68%,COUNTY
06/05/2021,Orleans,2,3117,154,78468,1.30%,COUNTY
06/05/2021,Oswego,5,7599,367,275811,1.36%,COUNTY
06/05/2021,Otsego,3,3455,216,169463,1.39%,COUNTY
06/05/2021,Putnam,3,10595,393,233405,0.76%,COUNTY
06/05/2021,Queens,57,271695,14838,6254111,0.38%,COUNTY
06/05/2021,Rensselaer,3,11208,957,471096,0.31%,COUNTY
06/05/2021,Richmond,21,74323,4899,1652943,0.43%,COUNTY
06/05/2021,Rockland,10,46904,1799,854979,0.56%,COUNTY
06/05/2021,STATEWIDE,549,2088666,117999,56623238,0.47%,STATEWIDE
06/05/2021,Saratoga,7,15337,992,503549,0.71%,COUNTY
06/05/2021,Schenectady,3,13178,687,418514,0.44%,COUNTY
06/05/2021,Schoharie,1,1692,61,60948,1.64%,COUNTY
06/05/2021,Schuyler,3,1064,94,44220,3.19%,COUNTY
06/05/2021,Seneca,0,2006,86,67056,0.00%,COUNTY
06/05/2021,Southern Tier,28,48338,3775,3839389,0.82%,REGION
06/05/2021,St. Lawrence,1,6619,228,332073,0.44%,COUNTY
06/05/2021,Steuben,4,6933,443,220098,0.90%,COUNTY
06/05/2021,Suffolk,23,200727,8110,4195004,0.28%,COUNTY
06/05/2021,Sullivan,3,6657,235,134553,1.28%,COUNTY
06/05/2021,Tioga,2,3813,223,111835,0.90%,COUNTY
06/05/2021,Tompkins,2,4338,899,2383091,0.36%,COUNTY
06/05/2021,Ulster,1,13886,918,437173,0.11%,COUNTY
06/05/2021,Warren,3,3656,319,147673,0.94%,COUNTY
06/05/2021,Washington,1,3147,268,131104,0.37%,COUNTY
06/05/2021,Wayne,3,5761,553,189750,0.54%,COUNTY
06/05/2021,Westchester,17,129488,5627,2922766,0.30%,COUNTY
06/05/2021,Western New York,32,127648,6492,3409573,0.49%,REGION
06/05/2021,Wyoming,1,3576,90,83800,1.11%,COUNTY
06/05/2021,Yates,0,1178,59,46201,0.00%,COUNTY
06/04/2021,Albany,9,24661,1711,725145,0.53%,COUNTY
06/04/2021,Allegany,9,3545,304,159189,2.96%,COUNTY
06/04/2021,Bronx,68,176174,10401,3762887,0.65%,COUNTY
06/04/2021,Broome,10,18593,1363,619078,0.73%,COUNTY
06/04/2021,Capital Region,42,78628,6677,2622880,0.63%,REGION
06/04/2021,Cattaraugus,3,5715,578,160331,0.52%,COUNTY
06/04/2021,Cayuga,4,6326,704,196980,0.57%,COUNTY
06/04/2021,Central New York,59,61172,6100,2414815,0.97%,REGION
06/04/2021,Chautauqua,7,8931,768,310000,0.91%,COUNTY
06/04/2021,Chemung,8,7736,782,235766,1.02%,COUNTY
06/04/2021,Chenango,2,3478,455,119359,0.44%,COUNTY
06/04/2021,Clinton,0,4833,698,208980,0.00%,COUNTY
06/04/2021,Columbia,11,4057,403,138834,2.73%,COUNTY
06/04/2021,Cortland,4,3902,787,177196,0.51%,COUNTY
06/04/2021,Delaware,5,2366,358,103826,1.40%,COUNTY
06/04/2021,Dutchess,12,29434,1746,763509,0.69%,COUNTY
06/04/2021,Erie,36,89422,5093,2299748,0.71%,COUNTY
06/04/2021,Essex,0,1591,153,77720,0.00%,COUNTY
06/04/2021,Finger Lakes,71,101644,8716,3043860,0.81%,REGION
06/04/2021,Franklin,3,2555,225,93474,1.33%,COUNTY
06/04/2021,Fulton,7,4413,336,111259,2.08%,COUNTY
06/04/2021,Genesee,3,5430,677,145410,0.44%,COUNTY
06/04/2021,Greene,1,3401,242,90188,0.41%,COUNTY
06/04/2021,Hamilton,0,313,29,9848,0.00%,COUNTY
06/04/2021,Herkimer,2,5176,541,163420,0.37%,COUNTY
06/04/2021,Jefferson,5,6095,798,173353,0.63%,COUNTY
06/04/2021,Kings,68,275161,16502,6988675,0.41%,COUNTY
06/04/2021,Lewis,5,2800,154,52315,3.25%,COUNTY
06/04/2021,Livingston,4,4508,400,167014,1.00%,COUNTY
06/04/2021,Long Island,99,384064,19128,8268611,0.52%,REGION
06/04/2021,Madison,4,4552,415,203169,0.96%,COUNTY
06/04/2021,Mid-Hudson,74,285146,15981,6147486,0.46%,REGION
06/04/2021,Mohawk Valley,25,41528,3068,1444128,0.81%,REGION
06/04/2021,Monroe,54,68679,5625,2018457,0.96%,COUNTY
06/04/2021,Montgomery,3,4254,350,112382,0.86%,COUNTY
06/04/2021,Nassau,51,183360,9586,4081717,0.53%,COUNTY
06/04/2021,New York,43,137929,15631,5738350,0.28%,COUNTY
06/04/2021,New York City,271,935204,64298,24377229,0.42%,REGION
06/04/2021,Niagara,8,20003,1417,473813,0.56%,COUNTY
06/04/2021,North Country,14,24805,2491,947535,0.56%,REGION
06/04/2021,Oneida,10,22542,1427,826933,0.70%,COUNTY
06/04/2021,Onondaga,40,38798,3457,1562026,1.17%,COUNTY
06/04/2021,Ontario,1,7395,682,248646,0.15%,COUNTY
06/04/2021,Orange,15,48216,2400,810073,0.63%,COUNTY
06/04/2021,Orleans,2,3115,228,78314,0.88%,COUNTY
06/04/2021,Oswego,7,7594,737,275444,0.95%,COUNTY
06/04/2021,Otsego,2,3452,307,169247,0.65%,COUNTY
06/04/2021,Putnam,3,10592,528,233012,0.57%,COUNTY
06/04/2021,Queens,71,271638,18335,6239273,0.39%,COUNTY
06/04/2021,Rensselaer,1,11205,905,470139,0.11%,COUNTY
06/04/2021,Richmond,21,74302,3429,1648044,0.61%,COUNTY
06/04/2021,Rockland,12,46894,2713,853180,0.44%,COUNTY
06/04/2021,STATEWIDE,761,2088117,140741,56505239,0.55%,STATEWIDE
06/04/2021,Saratoga,6,15330,1305,502557,0.46%,COUNTY
06/04/2021,Schenectady,5,13175,1227,417827,0.41%,COUNTY
06/04/2021,Schoharie,1,1691,107,60887,0.93%,COUNTY
06/04/2021,Schuyler,1,1061,112,44126,0.89%,COUNTY
06/04/2021,Seneca,1,2006,257,66970,0.39%,COUNTY
06/04/2021,Southern Tier,43,48310,6122,3835614,0.85%,REGION
06/04/2021,St. Lawrence,1,6618,434,331845,0.23%,COUNTY
06/04/2021,Steuben,5,6929,552,219655,0.91%,COUNTY
06/04/2021,Suffolk,48,200704,9542,4186894,0.50%,COUNTY
06/04/2021,Sullivan,6,6654,451,134318,1.33%,COUNTY
06/04/2021,Tioga,10,3811,381,111612,2.62%,COUNTY
06/04/2021,Tompkins,2,4336,2119,2382192,0.19%,COUNTY
06/04/2021,Ulster,4,13885,807,436255,0.50%,COUNTY
06/04/2021,Warren,5,3653,484,147354,1.03%,COUNTY
06/04/2021,Washington,4,3146,400,130836,1.00%,COUNTY
06/04/2021,Wayne,6,5758,508,189197,1.18%,COUNTY
06/04/2021,Westchester,22,129471,7336,2917139,0.30%,COUNTY
06/04/2021,Western New York,63,127616,8160,3403081,0.77%,REGION
06/04/2021,Wyoming,0,3575,198,83710,0.00%,COUNTY
06/04/2021,Yates,0,1178,141,46142,0.00%,COUNTY
06/03/2021,Albany,4,24652,2250,723434,0.18%,COUNTY
06/03/2021,Allegany,1,3536,405,158885,0.25%,COUNTY
06/03/2021,Bronx,65,176106,17314,3752486,0.38%,COUNTY
06/03/2021,Broome,17,18583,1479,617715,1.15%,COUNTY
06/03/2021,Capital Region,26,78586,7932,2616203,0.33%,REGION
06/03/2021,Cattaraugus,3,5712,412,159753,0.73%,COUNTY
06/03/2021,Cayuga,3,6322,698,196276,0.43%,COUNTY
06/03/2021,Central New York,31,61113,6113,2408715,0.51%,REGION
06/03/2021,Chautauqua,3,8924,586,309232,0.51%,COUNTY
06/03/2021,Chemung,4,7728,650,234984,0.62%,COUNTY
