DATE,AGE_RANGE,AR_CASECOUNT,AR_TOTALPERCENT,NEW_ARCASES,AR_NEWPERCENT,AR_TOTALDEATHS,AR_NEWDEATHS
04-03-20,Pending,15,0,-2,-9.0090090090090107E-3,,
04-04-20,0-10 years,43,0.01,4,1.5748031496062999E-2,,
04-04-20,11-20 years,158,0.05,10,3.9370078740157501E-2,,
04-04-20,21-30 years,744,0.22,51,0.20078740157480299,,
04-04-20,31-40 years,543,0.16,49,0.192913385826772,,
04-04-20,41-50 years,510,0.15,36,0.14173228346456701,,
04-04-20,51-60 years,593,0.18,49,0.192913385826772,,
04-04-20,61-70 years,391,0.12,32,0.12598425196850399,,
04-04-20,71-80 years,205,0.06,9,3.5433070866141697E-2,,
04-04-20,81+ years,107,0.03,2,7.8740157480314994E-3,,
04-04-20,Pending,27,0.01,12,4.7244094488188997E-2,,
04-05-20,0-10 years,42,0.01,-1,-3.2051282051282098E-3,,
04-05-20,11-20 years,171,0.05,13,4.1666666666666699E-2,,
04-05-20,21-30 years,815,0.22,71,0.227564102564103,,
04-05-20,31-40 years,608,0.17,65,0.20833333333333301,,
04-05-20,41-50 years,565,0.16,55,0.17628205128205099,,
04-05-20,51-60 years,644,0.18,51,0.16346153846153799,,
04-05-20,61-70 years,431,0.12,40,0.128205128205128,,
04-05-20,71-80 years,215,0.06,10,3.2051282051282E-2,,
04-05-20,81+ years,118,0.03,11,3.5256410256410298E-2,,
04-05-20,Pending,24,0.01,-3,-9.6153846153846194E-3,,
04-06-20,0-10 years,45,0.01,3,1.7751479289940801E-2,,
04-06-20,11-20 years,183,0.05,12,7.1005917159763302E-2,,
04-06-20,21-30 years,846,0.22,31,0.183431952662722,,
04-06-20,31-40 years,627,0.16,19,0.112426035502959,,
04-06-20,41-50 years,587,0.15,22,0.13017751479289899,,
04-06-20,51-60 years,679,0.18,35,0.207100591715976,,
04-06-20,61-70 years,454,0.12,23,0.13609467455621299,,
04-06-20,71-80 years,232,0.06,17,0.100591715976331,,
04-06-20,81+ years,122,0.03,4,2.3668639053254399E-2,,
04-06-20,Pending,27,0.01,3,1.7751479289940801E-2,,
04-07-20,0-10 years,52,0.01,7,2.0833333333333301E-2,,
04-07-20,11-20 years,198,0.05,15,4.4642857142857102E-2,,
04-07-20,21-30 years,905,0.22,59,0.175595238095238,,
04-07-20,31-40 years,684,0.17,57,0.16964285714285701,,
04-07-20,41-50 years,639,0.15,52,0.15476190476190499,,
04-07-20,51-60 years,755,0.18,76,0.226190476190476,,
04-07-20,61-70 years,508,0.12,54,0.160714285714286,,
04-07-20,71-80 years,251,0.06,19,5.6547619047618999E-2,,
04-07-20,81+ years,124,0.03,2,5.9523809523809503E-3,,
04-07-20,Pending,22,0.01,-5,-1.4880952380952399E-2,,
04-08-20,0-10 years,53,0.01,1,4.4642857142857097E-3,,
04-08-20,11-20 years,208,0.05,10,4.4642857142857102E-2,,
04-08-20,21-30 years,943,0.22,38,0.16964285714285701,,
04-08-20,31-40 years,705,0.16,21,9.375E-2,,
04-08-20,41-50 years,674,0.15,35,0.15625,,
04-08-20,51-60 years,803,0.18,48,0.214285714285714,,
04-08-20,61-70 years,542,0.12,34,0.151785714285714,,
04-08-20,71-80 years,268,0.06,17,7.5892857142857095E-2,,
04-08-20,81+ years,143,0.03,19,8.4821428571428603E-2,,
04-08-20,Pending,23,0.01,1,4.4642857142857097E-3,,
04-09-20,0-10 years,51,0.01,-2,-7.3529411764705899E-3,1,
04-09-20,11-20 years,218,0.05,10,3.6764705882352901E-2,0,
04-09-20,21-30 years,991,0.21,48,0.17647058823529399,1,
04-09-20,31-40 years,747,0.16,42,0.154411764705882,1,
04-09-20,41-50 years,730,0.16,56,0.20588235294117599,5,
04-09-20,51-60 years,845,0.18,42,0.154411764705882,9,
04-09-20,61-70 years,586,0.13,44,0.161764705882353,23,
04-09-20,71-80 years,288,0.06,20,7.3529411764705899E-2,24,
04-09-20,81+ years,156,0.03,13,4.7794117647058799E-2,30,
04-09-20,Pending,22,0,-1,-3.6764705882352902E-3,0,
04-10-20,0-10 years,54,0.01,3,1.3157894736842099E-2,1,0
04-10-20,11-20 years,226,0.05,8,3.5087719298245598E-2,0,0
04-10-20,21-30 years,1024,0.21,33,0.144736842105263,1,0
04-10-20,31-40 years,785,0.16,38,0.16666666666666699,1,0
04-10-20,41-50 years,779,0.16,49,0.214912280701754,5,0
04-10-20,51-60 years,899,0.18,54,0.23684210526315799,9,0
04-10-20,61-70 years,613,0.13,27,0.118421052631579,26,3
04-10-20,71-80 years,303,0.06,15,6.5789473684210495E-2,24,0
04-10-20,81+ years,162,0.03,6,2.6315789473684199E-2,31,1
04-10-20,Pending,17,0,-5,-2.1929824561403501E-2,0,0
04-11-20,0-10 years,56,0.01,2,7.9365079365079395E-3,1,0
04-11-20,11-20 years,240,0.05,14,5.5555555555555601E-2,0,0
04-11-20,21-30 years,1066,0.21,42,0.16666666666666699,1,0
04-11-20,31-40 years,827,0.16,42,0.16666666666666699,1,0
04-11-20,41-50 years,834,0.16,55,0.21825396825396801,5,0
04-11-20,51-60 years,940,0.18,41,0.16269841269841301,9,0
04-11-20,61-70 years,635,0.12,22,8.7301587301587297E-2,27,1
04-11-20,71-80 years,320,0.06,17,6.7460317460317498E-2,25,1
04-11-20,81+ years,179,0.04,17,6.7460317460317498E-2,32,1
04-11-20,Pending,17,0,0,0,0,0
04-12-20,0-10 years,61,0.01,5,2.57731958762887E-2,1,0
04-12-20,11-20 years,248,0.05,8,4.1237113402061903E-2,0,0
04-12-20,21-30 years,1112,0.21,46,0.23711340206185599,1,0
04-12-20,31-40 years,851,0.16,24,0.123711340206186,1,0
04-12-20,41-50 years,866,0.16,32,0.164948453608247,5,0
04-12-20,51-60 years,986,0.19,46,0.23711340206185599,9,0
04-12-20,61-70 years,665,0.13,30,0.15463917525773199,27,0
04-12-20,71-80 years,328,0.06,8,4.1237113402061903E-2,25,0
04-12-20,81+ years,178,0.03,-1,-5.1546391752577301E-3,32,0
04-12-20,Pending,13,0,-4,-2.06185567010309E-2,0,0
04-13-20,0-10 years,63,0.01,2,6.6225165562913899E-3,1,0
04-13-20,11-20 years,258,0.05,10,3.3112582781456998E-2,0,0
04-13-20,21-30 years,1155,0.21,43,0.14238410596026499,1,0
04-13-20,31-40 years,918,0.16,67,0.221854304635762,1,0
04-13-20,41-50 years,925,0.16,59,0.195364238410596,6,1
04-13-20,51-60 years,1047,0.19,61,0.20198675496688701,9,0
04-13-20,61-70 years,699,0.12,34,0.112582781456954,28,1
04-13-20,71-80 years,344,0.06,16,5.2980132450331098E-2,28,3
04-13-20,81+ years,190,0.03,12,3.9735099337748297E-2,35,3
04-13-20,Pending,11,0,-2,-6.6225165562913899E-3,0,0
04-14-20,0-10 years,68,0.01,5,2.3474178403755899E-2,1,0
04-14-20,11-20 years,270,0.05,12,5.63380281690141E-2,0,0
04-14-20,21-30 years,1189,0.2,34,0.15962441314553999,1,0
04-14-20,31-40 years,954,0.16,36,0.169014084507042,1,0
04-14-20,41-50 years,965,0.17,40,0.18779342723004699,7,1
04-14-20,51-60 years,1074,0.18,27,0.12676056338028199,11,2
04-14-20,61-70 years,731,0.13,32,0.15023474178403801,29,1
04-14-20,71-80 years,353,0.06,9,4.2253521126760597E-2,32,4
04-14-20,81+ years,199,0.03,9,4.2253521126760597E-2,42,7
04-14-20,Pending,20,0,9,4.2253521126760597E-2,0,0
04-15-20,0-10 years,70,0.01,2,7.8125E-3,1,0
04-15-20,11-20 years,272,0.04,2,7.8125E-3,0,0
04-15-20,21-30 years,1189,0.2,0,0,1,0
04-15-20,31-40 years,958,0.16,4,1.5625E-2,1,0
04-15-20,41-50 years,969,0.16,4,1.5625E-2,7,0
04-15-20,51-60 years,1076,0.18,2,7.8125E-3,14,3
04-15-20,61-70 years,731,0.12,0,0,34,5
04-15-20,71-80 years,353,0.06,0,0,33,1
04-15-20,81+ years,197,0.03,-2,-7.8125E-3,44,2
04-15-20,Pending,264,0.04,244,0.953125,0,0
04-16-20,0-10 years,73,0.01,3,1.63934426229508E-2,1,0
04-16-20,11-20 years,302,0.05,30,0.16393442622950799,0,0
04-16-20,21-30 years,1266,0.2,77,0.42076502732240401,1,0
04-16-20,31-40 years,1037,0.17,79,0.43169398907103801,1,0
04-16-20,41-50 years,1061,0.17,92,0.50273224043715803,7,0
04-16-20,51-60 years,1152,0.18,76,0.415300546448087,14,0
04-16-20,61-70 years,772,0.12,41,0.22404371584699501,34,0
04-16-20,71-80 years,371,0.06,18,9.8360655737704902E-2,34,1
04-16-20,81+ years,208,0.03,11,6.0109289617486301E-2,49,5
04-16-20,Pending,20,0,-244,-1.3333333333333299,0,0
04-17-20,0-10 years,84,0.01,11,3.3639143730886799E-2,1,0
04-17-20,11-20 years,327,0.05,25,7.64525993883792E-2,0,0
04-17-20,21-30 years,1323,0.2,57,0.17431192660550501,1,0
04-17-20,31-40 years,1101,0.17,64,0.19571865443425099,1,0
04-17-20,41-50 years,1109,0.17,48,0.146788990825688,7,0
04-17-20,51-60 years,1213,0.18,61,0.18654434250764501,14,0
04-17-20,61-70 years,813,0.12,41,0.125382262996942,34,0
04-17-20,71-80 years,386,0.06,15,4.5871559633027498E-2,36,2
04-17-20,81+ years,211,0.03,3,9.1743119266055103E-3,48,-1
04-17-20,Pending,22,0,2,6.1162079510703399E-3,0,0
04-18-20,0-10 years,84,0.01,0,0,1,0
04-18-20,11-20 years,342,0.05,15,8.6705202312138699E-2,0,0
04-18-20,21-30 years,1353,0.2,30,0.17341040462427701,1,0
04-18-20,31-40 years,1144,0.17,43,0.24855491329479801,1,0
04-18-20,41-50 years,1138,0.17,29,0.16763005780346801,7,0
04-18-20,51-60 years,1236,0.18,23,0.13294797687861301,14,0
04-18-20,61-70 years,821,0.12,8,4.6242774566474E-2,35,1
04-18-20,71-80 years,401,0.06,15,8.6705202312138699E-2,38,2
04-18-20,81+ years,220,0.03,9,5.2023121387283197E-2,48,0
04-18-20,Pending,23,0,1,5.78034682080925E-3,0,0
04-19-20,0-10 years,98,0.01,14,4.5454545454545497E-2,1,0
04-19-20,11-20 years,379,0.05,37,0.12012987012987,0,0
04-19-20,21-30 years,1422,0.2,69,0.22402597402597399,1,0
04-19-20,31-40 years,1205,0.17,61,0.19805194805194801,1,0
04-19-20,41-50 years,1194,0.17,56,0.18181818181818199,8,1
04-19-20,51-60 years,1282,0.18,46,0.14935064935064901,14,0
04-19-20,61-70 years,842,0.12,21,6.8181818181818205E-2,36,1
04-19-20,71-80 years,404,0.06,3,9.74025974025974E-3,39,1
04-19-20,81+ years,228,0.03,8,2.5974025974026E-2,48,0
04-19-20,Pending,16,0,-7,-2.27272727272727E-2,0,0
04-20-20,0-10 years,99,0.01,1,5.9523809523809503E-3,1,0
04-20-20,11-20 years,386,0.05,7,4.1666666666666699E-2,0,0
04-20-20,21-30 years,1455,0.2,33,0.19642857142857101,1,0
04-20-20,31-40 years,1248,0.17,43,0.25595238095238099,1,0
04-20-20,41-50 years,1235,0.17,41,0.24404761904761901,9,1
04-20-20,51-60 years,1311,0.18,29,0.172619047619048,15,1
04-20-20,61-70 years,856,0.12,14,8.3333333333333301E-2,36,0
04-20-20,71-80 years,407,0.06,3,1.7857142857142901E-2,40,1
04-20-20,81+ years,231,0.03,3,1.7857142857142901E-2,49,1
04-20-20,Pending,10,0,-6,-3.5714285714285698E-2,0,0
04-21-20,0-10 years,107,0.01,8,5.1282051282051301E-2,1,0
04-21-20,11-20 years,403,0.05,17,0.108974358974359,0,0
04-21-20,21-30 years,1471,0.2,16,0.102564102564103,1,0
04-21-20,31-40 years,1271,0.17,23,0.147435897435897,1,0
04-21-20,41-50 years,1262,0.17,27,0.17307692307692299,9,0
04-21-20,51-60 years,1344,0.18,33,0.21153846153846201,15,0
04-21-20,61-70 years,870,0.12,14,8.9743589743589702E-2,37,1
04-21-20,71-80 years,417,0.06,10,6.4102564102564097E-2,41,1
04-21-20,81+ years,242,0.03,11,7.0512820512820498E-2,52,3
04-21-20,Pending,7,0,-3,-1.9230769230769201E-2,0,0
04-22-20,0-10 years,115,0.01,8,1.7857142857142901E-2,1,0
04-22-20,11-20 years,432,0.06,29,6.4732142857142905E-2,0,0
04-22-20,21-30 years,1568,0.2,97,0.21651785714285701,2,1
04-22-20,31-40 years,1358,0.17,87,0.19419642857142899,1,0
04-22-20,41-50 years,1370,0.17,108,0.24107142857142899,10,1
04-22-20,51-60 years,1407,0.18,63,0.140625,15,0
04-22-20,61-70 years,900,0.11,30,6.6964285714285698E-2,38,1
04-22-20,71-80 years,430,0.05,13,2.9017857142857099E-2,45,4
04-22-20,81+ years,252,0.03,10,2.23214285714286E-2,54,2
04-22-20,Pending,10,0,3,6.6964285714285702E-3,0,0
04-23-20,0-10 years,122,1.4759E-2,7,1.6509433962264199E-2,1,0
04-23-20,11-20 years,443,5.3593000000000002E-2,11,2.5943396226415099E-2,0,0
04-23-20,21-30 years,1641,0.19852400000000001,73,0.17216981132075501,2,0
04-23-20,31-40 years,1415,0.171183,57,0.134433962264151,1,0
04-23-20,41-50 years,1418,0.171546,48,0.113207547169811,10,0
04-23-20,51-60 years,1450,0.17541699999999999,43,0.10141509433962299,15,0
04-23-20,61-70 years,916,0.110815,16,3.77358490566038E-2,40,2
04-23-20,71-80 years,445,5.3835000000000001E-2,15,3.5377358490566002E-2,46,1
04-23-20,81+ years,264,3.1938000000000001E-2,12,2.83018867924528E-2,55,1
04-23-20,Pending,152,1.8388999999999999E-2,142,0.33490566037735803,0,0
04-24-20,0-10 years,130,1.48980059592024E-2,8,1.7391304347826101E-2,1,0
04-24-20,11-20 years,461,5.2830621132248401E-2,18,3.9130434782608699E-2,0,0
04-24-20,21-30 years,1671,0.19149667659867101,30,6.5217391304347797E-2,1,-1
04-24-20,31-40 years,1450,0.16617006646802701,35,7.6086956521739094E-2,1,0
04-24-20,41-50 years,1451,0.166284666513867,33,7.1739130434782597E-2,10,0
04-24-20,51-60 years,1480,0.16960806784322699,30,6.5217391304347797E-2,15,0
04-24-20,61-70 years,935,0.107151042860417,19,4.1304347826087003E-2,40,0
04-24-20,71-80 years,459,5.2601421040568398E-2,14,3.0434782608695699E-2,45,-1
04-24-20,81+ years,274,3.1400412560165E-2,10,2.1739130434782601E-2,55,0
04-24-20,Pending,415,4.7559019023607603E-2,263,0.57173913043478297,0,0
04-25-20,0-10 years,145,1.5779736641636701E-2,15,3.2397408207343402E-2,1,0
04-25-20,11-20 years,517,5.62629230601807E-2,56,0.12095032397408199,0,0
04-25-20,21-30 years,1742,0.18957449123952599,71,0.153347732181425,1,0
04-25-20,31-40 years,1536,0.167156382631407,86,0.18574514038876899,1,0
04-25-20,41-50 years,1531,0.166612253781696,80,0.172786177105832,10,0
04-25-20,51-60 years,1542,0.16780933725106101,62,0.13390928725701901,15,0
04-25-20,61-70 years,970,0.105560996844053,35,7.5593952483801297E-2,42,2
04-25-20,71-80 years,481,5.2345195342256998E-2,22,4.7516198704103702E-2,50,5
04-25-20,81+ years,291,3.1668299053215797E-2,17,3.6717062634989202E-2,58,3
04-25-20,Pending,434,4.72303841549679E-2,19,4.1036717062635002E-2,0,0
04-26-20,0-10 years,158,1.63442639908969E-2,13,2.7196652719665301E-2,1,0
04-26-20,11-20 years,567,5.8653149891383101E-2,50,0.104602510460251,0,0
04-26-20,21-30 years,1870,0.19344160546188099,128,0.26778242677824299,1,0
04-26-20,31-40 years,1630,0.168614875349126,94,0.19665271966527201,2,1
04-26-20,41-50 years,1608,0.166339091755457,77,0.161087866108787,10,0
04-26-20,51-60 years,1592,0.164683976414606,50,0.104602510460251,15,0
04-26-20,61-70 years,1001,0.103548153511948,31,6.4853556485355707E-2,42,0
04-26-20,71-80 years,497,5.1412020275162902E-2,16,3.3472803347280297E-2,50,0
04-26-20,81+ years,311,3.2171304437777999E-2,20,4.1841004184100403E-2,60,2
04-26-20,Pending,433,4.4791558911761703E-2,-1,-2.0920502092050199E-3,0,0
04-27-20,0-10 years,166,1.6737245412381498E-2,8,3.1872509960159397E-2,1,0
04-27-20,11-20 years,594,5.98911070780399E-2,27,0.107569721115538,0,0
04-27-20,21-30 years,1913,0.19288162936075801,43,0.171314741035857,1,0
04-27-20,31-40 years,1670,0.16838072191974199,40,0.159362549800797,2,0
04-27-20,41-50 years,1650,0.16636418632788899,42,0.167330677290837,10,0
04-27-20,51-60 years,1624,0.16374269005847999,32,0.127490039840637,15,0
04-27-20,61-70 years,1025,0.10334744908247601,24,9.56175298804781E-2,42,0
04-27-20,71-80 years,517,5.2127445049405099E-2,20,7.9681274900398405E-2,50,0
04-27-20,81+ years,336,3.3877797943133697E-2,25,9.9601593625498003E-2,63,3
04-27-20,Pending,423,4.26497277676951E-2,-10,-3.9840637450199202E-2,0,0
04-28-20,0-10 years,171,1.70115399920414E-2,5,3.7313432835820899E-2,1,0
04-28-20,11-20 years,599,5.9590131317150803E-2,5,3.7313432835820899E-2,0,0
04-28-20,21-30 years,1928,0.19180262634301601,15,0.111940298507463,1,0
04-28-20,31-40 years,1692,0.16832471150019901,22,0.164179104477612,2,0
