district_id,region_id,school_id,can_submit_covid_data,student_cases,staff_cases,student_cases_prev_week,staff_cases_prev_week,student_cases_inferred,staff_cases_inferred,student_cases_prev_week_inferred,staff_cases_prev_week_inferred,date_stamp,op_model_id,op_has_restrictions,op_restrictions,op_restrictions_end_date,op_last_update,date_cases_updated
TN-00061,7,TN-00061-0030,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:07:37,
TN-00061,7,TN-00061-0045,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-08 18:06:35,
TN-00070,5,TN-00070-0002,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0003,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0040,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0060,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0065,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0070,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0075,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0077,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0080,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0135,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0140,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0150,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0155,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00070,5,TN-00070-0160,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00080,4,TN-00080-0005,1,0,0,0,0,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 18:04:10,2020-09-28 18:04:10
TN-00080,4,TN-00080-0016,1,0,0,0,0,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 18:03:58,2020-09-28 18:03:58
TN-00080,4,TN-00080-0020,1,0,0,0,0,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 18:03:44,2020-09-28 18:03:44
TN-00080,4,TN-00080-0030,1,0,0,0,0,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 18:03:30,2020-09-28 18:03:30
TN-00080,4,TN-00080-0035,1,0,0,0,0,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 18:03:19,2020-09-28 18:03:19
TN-00080,4,TN-00080-0040,1,0,<5,0,<5,0,5,0,5,2020-10-01 00:00:00,3,0,,,2020-09-28 18:02:34,2020-09-28 18:02:34
TN-00080,4,TN-00080-0045,1,0,0,0,0,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-28 18:02:55,2020-09-28 18:02:56
TN-00090,1,TN-00090-0007,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00090,1,TN-00090-0009,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00092,1,TN-00092-0005,1,0,0,<5,<5,0,0,5,5,2020-10-01 00:00:00,1,1,4,,2020-09-28 14:42:50,2020-09-28 14:42:50
TN-00092,1,TN-00092-0010,1,0,0,<5,0,0,0,5,0,2020-10-01 00:00:00,1,1,4,,2020-09-28 14:43:27,2020-09-28 14:43:27
TN-00093,1,TN-00093-0005,1,,,<5,0,0,0,5,0,2020-10-01 00:00:00,3,0,,,2020-09-22 16:24:23,
TN-00093,1,TN-00093-0010,1,,,<5,0,0,0,5,0,2020-10-01 00:00:00,3,0,,,2020-09-28 16:22:58,
TN-00093,1,TN-00093-0015,1,,,<5,<5,0,0,5,5,2020-10-01 00:00:00,3,0,,,2020-09-28 14:42:28,
TN-00094,1,TN-00094-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 12:26:29,
TN-00094,1,TN-00094-0010,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 14:01:49,
TN-00094,1,TN-00094-0015,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 12:27:16,
TN-00095,1,TN-00095-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-08-01 00:00:00,
TN-00097,1,TN-00097-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 16:24:53,
TN-00097,1,TN-00097-0020,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 16:28:33,
TN-00097,1,TN-00097-0025,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 16:25:17,
TN-00100,6,TN-00100-0004,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-10 18:05:26,
TN-00100,6,TN-00100-0005,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-10 18:05:49,
TN-00100,6,TN-00100-0013,1,<5,0,,,5,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-29 15:56:03,2020-09-28 15:56:03
TN-00100,6,TN-00100-0015,1,0,<5,,,0,5,0,0,2020-10-01 00:00:00,3,0,,,2020-09-29 15:56:16,2020-09-28 15:56:16
TN-00100,6,TN-00100-0025,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 18:34:38,
TN-00100,6,TN-00100-0030,1,,,,,0,0,0,0,2020-10-01 00:00:00,3,0,,,2020-09-14 18:34:21,
