date_stamp,age_group,cnt_confirmed,cnt_confirmed_new,pct_confirmed,pct_confirmed_new,cnt_death,cnt_death_new
2020-04-09,21,991,48,21.0,17.6471,1.0,
2020-04-09,11,218,10,5.0,3.6765,0.0,
2020-04-09,00,51,-2,1.0,-0.7353,1.0,
2020-04-10,99,17,-5,0.0,-2.193,0.0,0.0
2020-04-10,81,162,6,3.0,2.6316,31.0,1.0
2020-04-10,71,303,15,6.0,6.5789,24.0,0.0
2020-04-10,61,613,27,13.0,11.8421,26.0,3.0
2020-04-10,51,899,54,18.0,23.6842,9.0,0.0
2020-04-10,31,785,38,16.0,16.6667,1.0,0.0
2020-04-10,21,1024,33,21.0,14.4737,1.0,0.0
2020-04-10,11,226,8,5.0,3.5088,0.0,0.0
2020-04-10,00,54,3,1.0,1.3158,1.0,0.0
2020-04-10,41,779,49,16.0,21.4912,5.0,0.0
2020-04-11,41,834,55,16.0,21.8254,5.0,0.0
2020-04-11,00,56,2,1.0,0.7937,1.0,0.0
2020-04-11,11,240,14,5.0,5.5556,0.0,0.0
2020-04-11,21,1066,42,21.0,16.6667,1.0,0.0
2020-04-11,31,827,42,16.0,16.6667,1.0,0.0
2020-04-11,51,940,41,18.0,16.2698,9.0,0.0
2020-04-11,61,635,22,12.0,8.7302,27.0,1.0
2020-04-11,71,320,17,6.0,6.746,25.0,1.0
2020-04-11,81,179,17,4.0,6.746,32.0,1.0
2020-04-11,99,17,0,0.0,0.0,0.0,0.0
2020-04-12,71,328,8,6.0,4.1237,25.0,0.0
2020-04-12,61,665,30,13.0,15.4639,27.0,0.0
2020-04-12,99,13,-4,0.0,-2.0619,0.0,0.0
2020-04-12,81,178,-1,3.0,-0.5155,32.0,0.0
2020-04-12,51,986,46,19.0,23.7113,9.0,0.0
2020-04-12,00,61,5,1.0,2.5773,1.0,0.0
2020-04-12,31,851,24,16.0,12.3711,1.0,0.0
2020-04-12,21,1112,46,21.0,23.7113,1.0,0.0
2020-04-12,11,248,8,5.0,4.1237,0.0,0.0
2020-04-12,41,866,32,16.0,16.4948,5.0,0.0
2020-04-13,99,11,-2,0.0,-0.6623,0.0,0.0
2020-04-13,81,190,12,3.0,3.9735,35.0,3.0
2020-04-13,71,344,16,6.0,5.298,28.0,3.0
2020-04-13,61,699,34,12.0,11.2583,28.0,1.0
2020-04-13,51,1047,61,19.0,20.1987,9.0,0.0
2020-04-13,31,918,67,16.0,22.1854,1.0,0.0
2020-04-13,21,1155,43,21.0,14.2384,1.0,0.0
2020-04-13,11,258,10,5.0,3.3113,0.0,0.0
2020-04-13,00,63,2,1.0,0.6623,1.0,0.0
2020-04-13,41,925,59,16.0,19.5364,6.0,1.0
2020-04-14,61,731,32,13.0,15.0235,29.0,1.0
2020-04-14,99,20,9,0.0,4.2254,0.0,0.0
2020-04-14,81,199,9,3.0,4.2254,42.0,7.0
2020-04-14,71,353,9,6.0,4.2254,32.0,4.0
2020-04-14,51,1074,27,18.0,12.6761,11.0,2.0
2020-04-14,00,68,5,1.0,2.3474,1.0,0.0
2020-04-14,31,954,36,16.0,16.9014,1.0,0.0
2020-04-14,21,1189,34,20.0,15.9624,1.0,0.0
2020-04-14,11,270,12,5.0,5.6338,0.0,0.0
2020-04-14,41,965,40,17.0,18.7793,7.0,1.0
2020-04-15,61,731,0,12.0,0.0,34.0,5.0
2020-04-15,99,264,244,4.0,95.3125,0.0,0.0
2020-04-15,81,197,-2,3.0,-0.7812,44.0,2.0
2020-04-15,71,353,0,6.0,0.0,33.0,1.0
2020-04-15,51,1076,2,18.0,0.7812,14.0,3.0
2020-04-15,00,70,2,1.0,0.7812,1.0,0.0
2020-04-15,31,958,4,16.0,1.5625,1.0,0.0
2020-04-15,21,1189,0,20.0,0.0,1.0,0.0
2020-04-15,11,272,2,4.0,0.7812,0.0,0.0
2020-04-15,41,969,4,16.0,1.5625,7.0,0.0
2020-04-16,99,20,-244,0.0,-133.3333,0.0,0.0
2020-04-16,81,208,11,3.0,6.0109,49.0,5.0
2020-04-16,71,371,18,6.0,9.8361,34.0,1.0
2020-04-16,61,772,41,12.0,22.4044,34.0,0.0
2020-04-16,51,1152,76,18.0,41.5301,14.0,0.0
2020-04-16,31,1037,79,17.0,43.1694,1.0,0.0
2020-04-16,21,1266,77,20.0,42.0765,1.0,0.0
2020-04-16,11,302,30,5.0,16.3934,0.0,0.0
2020-04-16,00,73,3,1.0,1.6393,1.0,0.0
2020-04-16,41,1061,92,17.0,50.2732,7.0,0.0
2020-04-17,61,813,41,12.0,12.5382,34.0,0.0
2020-04-17,99,22,2,0.0,0.6116,0.0,0.0
2020-04-17,81,211,3,3.0,0.9174,48.0,-1.0
2020-04-17,71,386,15,6.0,4.5872,36.0,2.0
2020-04-17,51,1213,61,18.0,18.6544,14.0,0.0
2020-04-17,00,84,11,1.0,3.3639,1.0,0.0
2020-04-17,31,1101,64,17.0,19.5719,1.0,0.0
2020-04-17,21,1323,57,20.0,17.4312,1.0,0.0
2020-04-17,11,327,25,5.0,7.6453,0.0,0.0
2020-04-17,41,1109,48,17.0,14.6789,7.0,0.0
2020-04-18,61,821,8,12.0,4.6243,35.0,1.0
2020-04-18,99,23,1,0.0,0.578,0.0,0.0
2020-04-18,81,220,9,3.0,5.2023,48.0,0.0
2020-04-18,71,401,15,6.0,8.6705,38.0,2.0
2020-04-18,51,1236,23,18.0,13.2948,14.0,0.0
2020-04-18,41,1138,29,17.0,16.763,7.0,0.0
2020-04-18,31,1144,43,17.0,24.8555,1.0,0.0
2020-04-18,21,1353,30,20.0,17.341,1.0,0.0
2020-04-18,11,342,15,5.0,8.6705,0.0,0.0
2020-04-18,00,84,0,1.0,0.0,1.0,0.0
2020-04-19,81,228,8,3.0,2.5974,48.0,0.0
2020-04-19,71,404,3,6.0,0.974,39.0,1.0
2020-04-19,61,842,21,12.0,6.8182,36.0,1.0
2020-04-19,51,1282,46,18.0,14.9351,14.0,0.0
2020-04-19,99,16,-7,0.0,-2.2727,0.0,0.0
2020-04-19,31,1205,61,17.0,19.8052,1.0,0.0
2020-04-19,21,1422,69,20.0,22.4026,1.0,0.0
2020-04-19,11,379,37,5.0,12.013,0.0,0.0
2020-04-19,00,98,14,1.0,4.5455,1.0,0.0
2020-04-19,41,1194,56,17.0,18.1818,8.0,1.0
2020-04-20,99,10,-6,0.0,-3.5714,0.0,0.0
2020-04-20,81,231,3,3.0,1.7857,49.0,1.0
2020-04-20,71,407,3,6.0,1.7857,40.0,1.0
2020-04-20,61,856,14,12.0,8.3333,36.0,0.0
2020-04-20,51,1311,29,18.0,17.2619,15.0,1.0
2020-04-20,41,1235,41,17.0,24.4048,9.0,1.0
2020-04-20,21,1455,33,20.0,19.6429,1.0,0.0
2020-04-20,11,386,7,5.0,4.1667,0.0,0.0
2020-04-20,00,99,1,1.0,0.5952,1.0,0.0
2020-04-20,31,1248,43,17.0,25.5952,1.0,0.0
2020-04-21,61,870,14,12.0,8.9744,37.0,1.0
2020-04-21,81,242,11,3.0,7.0513,52.0,3.0
2020-04-21,71,417,10,6.0,6.4103,41.0,1.0
2020-04-21,51,1344,33,18.0,21.1538,15.0,0.0
2020-04-21,99,7,-3,0.0,-1.9231,0.0,0.0
2020-04-21,31,1271,23,17.0,14.7436,1.0,0.0
2020-04-21,21,1471,16,20.0,10.2564,1.0,0.0
2020-04-21,11,403,17,5.0,10.8974,0.0,0.0
2020-04-21,00,107,8,1.0,5.1282,1.0,0.0
2020-04-21,41,1262,27,17.0,17.3077,9.0,0.0
2020-04-22,81,252,10,3.0,2.2321,54.0,2.0
2020-04-22,71,430,13,5.0,2.9018,45.0,4.0
2020-04-22,61,900,30,11.0,6.6964,38.0,1.0
2020-04-22,51,1407,63,18.0,14.0625,15.0,0.0
2020-04-22,99,10,3,0.0,0.6696,0.0,0.0
2020-04-22,31,1358,87,17.0,19.4196,1.0,0.0
2020-04-22,21,1568,97,20.0,21.6518,2.0,1.0
2020-04-22,11,432,29,6.0,6.4732,0.0,0.0
2020-04-22,00,115,8,1.0,1.7857,1.0,0.0
2020-04-22,41,1370,108,17.0,24.1071,10.0,1.0
2020-04-23,99,152,142,1.8389,33.4906,0.0,0.0
2020-04-23,81,264,12,3.1938,2.8302,55.0,1.0
2020-04-23,71,445,15,5.3835,3.5377,46.0,1.0
2020-04-23,61,916,16,11.0815,3.7736,40.0,2.0
2020-04-23,51,1450,43,17.5417,10.1415,15.0,0.0
2020-04-23,41,1418,48,17.1546,11.3208,10.0,0.0
2020-04-23,21,1641,73,19.8524,17.217,2.0,0.0
2020-04-23,11,443,11,5.3593,2.5943,0.0,0.0
2020-04-23,00,122,7,1.4759,1.6509,1.0,0.0
2020-04-23,31,1415,57,17.1183,13.4434,1.0,0.0
2020-04-24,61,935,19,10.7151,4.1304,40.0,0.0
2020-04-24,81,274,10,3.14,2.1739,55.0,0.0
2020-04-24,71,459,14,5.2601,3.0435,45.0,-1.0
2020-04-24,51,1480,30,16.9608,6.5217,15.0,0.0
2020-04-24,99,415,263,4.7559,57.1739,0.0,0.0
2020-04-24,31,1450,35,16.617,7.6087,1.0,0.0
