date_stamp,race,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-06-27,5,40,0.0996,1,0.1
2020-06-27,4,61,0.1518,0,0.0
2020-06-27,0,556,1.384,11,1.8
2020-06-27,1,8549,21.281,201,34.4
2020-06-27,2,17261,42.9677,335,57.3
2020-06-27,3,6743,16.7853,34,5.8
2020-06-29,9,7972,18.8477,2,0.3
2020-06-29,5,41,0.0969,1,0.1
2020-06-29,4,60,0.1419,0,0.0
2020-06-29,0,578,1.3665,11,1.8
2020-06-29,1,8872,20.9755,206,34.7
2020-06-29,2,17771,42.0148,338,57.0
2020-06-29,3,7003,16.5567,34,5.7
2020-06-30,9,8393,19.2903,2,0.3
2020-06-30,3,7124,16.3736,36,5.9
2020-06-30,5,42,0.0965,1,0.1
2020-06-30,4,61,0.1402,0,0.0
2020-06-30,0,586,1.3468,11,1.8
2020-06-30,1,9048,20.7957,212,35.0
2020-06-30,2,18255,41.9568,342,56.6
2020-07-01,9,8159,18.0051,2,0.3
2020-07-01,5,42,0.0927,1,0.1
2020-07-01,4,72,0.1589,0,0.0
2020-07-01,0,598,1.3197,11,1.8
2020-07-01,1,9676,21.3528,215,35.3
2020-07-01,2,19194,42.3568,344,56.4
2020-07-01,3,7574,16.7141,36,5.9
2020-07-02,9,8782,18.7289,4,0.6
2020-07-02,5,45,0.096,1,0.1
2020-07-02,4,72,0.1536,0,0.0
2020-07-02,0,615,1.3116,11,1.7
2020-07-02,1,9850,21.0066,217,35.0
2020-07-02,2,19775,42.1732,351,56.6
2020-07-02,3,7751,16.5302,36,5.8
2020-07-03,9,9424,19.3464,5,0.7
2020-07-03,5,46,0.0944,1,0.1
2020-07-03,4,71,0.1458,0,0.0
2020-07-03,0,625,1.2831,11,1.7
2020-07-03,1,10097,20.728,221,34.9
2020-07-03,2,20445,41.9712,356,56.2
2020-07-03,3,8004,16.4313,39,6.1
2020-07-04,9,10016,19.9761,6,0.9
2020-07-04,5,48,0.0957,1,0.1
2020-07-04,4,72,0.1436,0,0.0
2020-07-04,0,628,1.2525,11,1.7
2020-07-04,1,10343,20.6282,223,35.0
2020-07-04,2,20861,41.6055,357,56.0
2020-07-04,3,8172,16.2984,39,6.1
2020-07-05,9,10843,21.0826,6,0.9
2020-07-05,5,48,0.0933,1,0.1
2020-07-05,4,72,0.14,0,0.0
2020-07-05,0,632,1.2288,11,1.7
2020-07-05,1,10459,20.336,228,35.2
2020-07-05,2,21111,41.0472,361,55.8
2020-07-05,3,8266,16.072,39,6.0
2020-07-06,9,10810,20.7267,6,0.9
2020-07-06,5,48,0.092,1,0.1
2020-07-06,2,21497,41.2175,366,56.0
2020-07-06,1,10640,20.4007,231,35.3
2020-07-06,3,8449,16.1998,38,5.8
2020-07-06,4,72,0.1381,0,0.0
2020-07-06,0,639,1.2252,11,1.6
2020-07-07,5,48,0.0897,1,0.1
2020-07-07,4,71,0.1327,0,0.0
2020-07-07,0,663,1.2389,12,1.8
2020-07-07,1,10872,20.3162,234,35.1
2020-07-07,2,22175,41.4378,372,55.9
2020-07-07,3,8571,16.0164,39,5.8
2020-07-07,9,11114,20.7684,7,1.0
2020-07-08,9,11309,20.1997,5,0.7
2020-07-08,5,48,0.0857,1,0.1
2020-07-08,4,78,0.1393,0,0.0
2020-07-08,0,677,1.2092,12,1.7
2020-07-08,1,11560,20.648,241,35.1
2020-07-08,2,23336,41.6818,386,56.3
2020-07-08,3,8978,16.0362,40,5.8
2020-07-09,9,11688,20.2948,5,0.7
2020-07-09,5,50,0.0868,1,0.1
2020-07-09,4,78,0.1354,0,0.0
2020-07-09,0,688,1.1946,13,1.8
2020-07-09,1,11825,20.5327,249,35.0
2020-07-09,2,24113,41.8694,397,55.9
2020-07-09,3,9149,15.8862,45,6.3
2020-07-10,9,12556,21.0862,4,0.5
2020-07-10,5,53,0.089,1,0.1
2020-07-10,4,78,0.131,0,0.0
2020-07-10,0,694,1.1655,12,1.6
2020-07-10,1,12100,20.3204,258,35.6
2020-07-10,2,24754,41.5712,402,55.6
2020-07-10,3,9311,15.6367,46,6.3
2020-07-11,9,12787,20.9602,4,0.5
2020-07-11,5,56,0.0918,1,0.1
2020-07-11,4,78,0.1279,0,0.0
2020-07-11,0,705,1.1556,12,1.6
2020-07-11,1,12323,20.1997,261,35.3
2020-07-11,2,25559,41.8959,411,55.6
2020-07-11,3,9498,15.569,49,6.6
2020-07-12,9,13044,21.0523,3,0.4
2020-07-12,5,56,0.0904,1,0.1
2020-07-12,4,78,0.1259,0,0.0
2020-07-12,0,710,1.1459,12,1.6
2020-07-12,1,12551,20.2566,263,35.4
2020-07-12,2,25886,41.7786,413,55.7
2020-07-12,3,9635,15.5504,49,6.6
2020-07-13,9,14912,22.8452,6,0.8
2020-07-13,5,56,0.0858,1,0.1
2020-07-13,2,26607,40.762,415,55.4
2020-07-13,1,12883,19.7368,266,35.5
2020-07-13,3,10012,15.3384,49,6.5
2020-07-13,4,83,0.1272,0,0.0
2020-07-13,0,721,1.1046,12,1.6
2020-07-14,5,56,0.0838,1,0.1
2020-07-14,4,84,0.1258,0,0.0
2020-07-14,0,729,1.0915,12,1.5
2020-07-14,1,13150,19.6892,273,35.5
2020-07-14,2,27432,41.0732,426,55.5
2020-07-14,3,10157,15.2078,49,6.3
2020-07-14,9,15180,22.7286,6,0.7
2020-07-15,9,14342,20.7671,5,0.6
2020-07-15,5,57,0.0825,1,0.1
2020-07-15,4,91,0.1318,0,0.0
2020-07-15,0,741,1.073,13,1.6
2020-07-15,1,14151,20.4906,280,35.7
2020-07-15,2,29104,42.1425,434,55.4
2020-07-15,3,10575,15.3125,50,6.3
2020-07-16,9,15316,21.409,4,0.5
2020-07-16,5,57,0.0797,1,0.1
2020-07-16,4,92,0.1286,0,0.0
2020-07-16,0,760,1.0623,13,1.6
2020-07-16,1,14422,20.1594,282,35.4
2020-07-16,2,30043,41.9947,446,56.0
2020-07-16,3,10850,15.1663,50,6.2
2020-07-17,9,16298,22.0783,3,0.3
2020-07-17,3,10933,14.8106,51,6.2
2020-07-17,5,58,0.0786,2,0.2
2020-07-17,4,91,0.1233,0,0.0
2020-07-17,0,766,1.0377,13,1.5
2020-07-17,1,14737,19.9637,289,35.4
2020-07-17,2,30936,41.9079,457,56.0
2020-07-18,9,17268,22.621,4,0.4
2020-07-18,5,60,0.0786,2,0.2
2020-07-18,4,90,0.1179,0,0.0
2020-07-18,0,774,1.0139,13,1.5
2020-07-18,1,15111,19.7954,300,35.7
2020-07-18,2,31837,41.7064,468,55.8
2020-07-18,3,11196,14.6667,51,6.0
2020-07-19,9,18207,23.3079,4,0.4
2020-07-19,5,60,0.0768,2,0.2
2020-07-19,4,92,0.1178,0,0.0
2020-07-19,0,788,1.0088,14,1.6
2020-07-19,1,15317,19.6083,304,36.0
2020-07-19,2,32383,41.4555,468,55.5
2020-07-19,3,11268,14.4249,51,6.0
2020-07-20,9,19179,24.0477,6,0.7
2020-07-20,5,61,0.0765,2,0.2
2020-07-20,2,32833,41.1678,469,55.3
2020-07-20,1,15478,19.4072,305,36.0
2020-07-20,3,11316,14.1886,51,6.0
2020-07-20,4,94,0.1179,0,0.0
2020-07-20,0,793,0.9943,14,1.6
2020-07-21,5,65,0.0793,2,0.2
2020-07-21,4,97,0.1184,0,0.0
2020-07-21,0,814,0.9934,15,1.7
2020-07-21,1,15752,19.2229,315,36.1
2020-07-21,2,34124,41.6431,481,55.2
2020-07-21,3,11792,14.3903,54,6.1
2020-07-21,9,19300,23.5527,4,0.4
2020-07-22,9,19972,23.6587,8,0.9
2020-07-22,5,69,0.0817,2,0.2
2020-07-22,4,97,0.1149,0,0.0
2020-07-22,0,832,0.9856,15,1.6
2020-07-22,1,16107,19.0803,319,35.9
2020-07-22,2,35281,41.7937,489,55.0
2020-07-22,3,12059,14.285,55,6.1
2020-07-23,9,19232,22.1091,10,1.0
2020-07-23,5,67,0.077,2,0.2
2020-07-23,4,107,0.123,2,0.2
2020-07-23,0,845,0.9714,15,1.6
2020-07-23,1,17171,19.7397,325,35.1
2020-07-23,2,36998,42.5328,512,55.3
2020-07-23,3,12567,14.447,59,6.3
2020-07-24,4,108,0.1212,2,0.2
2020-07-24,3,12673,14.2269,60,6.3
2020-07-24,5,70,0.0786,2,0.2
2020-07-24,0,865,0.9711,15,1.5
2020-07-24,1,17519,19.667,328,34.9
2020-07-24,2,37990,42.648,523,55.7
2020-07-24,9,19853,22.2872,8,0.8
2020-07-25,9,20219,22.2686,8,0.8
2020-07-25,5,71,0.0782,2,0.2
2020-07-25,4,108,0.1189,2,0.2
2020-07-25,0,885,0.9747,15,1.5
2020-07-25,1,17834,19.6418,335,34.7
2020-07-25,2,38946,42.894,542,56.2
2020-07-25,3,12733,14.0237,60,6.2
2020-07-26,9,22109,23.5362,9,0.9
2020-07-26,5,73,0.0777,2,0.2
2020-07-26,4,111,0.1182,2,0.2
2020-07-26,0,898,0.956,15,1.5
2020-07-26,1,18149,19.3206,336,34.7
2020-07-26,2,39810,42.3799,543,56.1
2020-07-26,3,12786,13.6114,60,6.2
2020-07-27,9,22748,23.5757,14,1.4
2020-07-27,5,71,0.0736,2,0.2
2020-07-27,2,40844,42.3302,547,55.7
2020-07-27,1,18408,19.0778,337,34.3
2020-07-27,3,13397,13.8845,61,6.6
2020-07-27,4,112,0.1161,2,0.2
2020-07-27,0,909,0.9421,15,1.5
2020-07-28,5,74,0.0747,15,1.4
2020-07-28,4,117,0.1181,3,0.2
2020-07-28,0,919,0.9279,15,1.4
2020-07-28,1,18749,18.93,343,33.7
2020-07-28,2,42056,42.4619,559,54.9
2020-07-28,3,13725,13.8575,62,6.5
2020-07-28,9,23404,23.6299,15,1.4
2020-07-29,9,23588,23.3957,15,1.4
2020-07-29,5,77,0.0764,2,0.1
2020-07-29,4,119,0.118,3,0.2
2020-07-29,0,930,0.9224,15,1.4
2020-07-29,1,19079,18.9234,347,34.0
2020-07-29,2,43077,42.7258,574,56.2
2020-07-29,3,13952,13.8382,64,6.2
2020-07-30,9,23840,23.1747,16,1.5
2020-07-30,5,78,0.0758,2,0.1
2020-07-30,4,120,0.1167,3,0.2
2020-07-30,0,941,0.9147,15,1.4
2020-07-30,1,19463,18.9198,351,33.9
2020-07-30,2,44226,42.9917,581,56.2
