date_stamp,resource_type,cnt_used,cnt_capacity,cnt_available,pct_used,pct_available
2020-08-15,0,2084,3057,973,68.20,31.80
2020-08-15,1,195,278,83,70.10,29.90
2020-08-15,2,80,250,170,32.00,68.00
2020-08-16,0,2084,3057,973,68.20,31.80
2020-08-16,1,195,278,83,70.10,29.90
2020-08-16,2,80,250,170,32.00,68.00
2020-08-17,0,2084,3057,973,68.20,31.80
2020-08-17,1,195,278,83,70.10,29.90
2020-08-17,2,80,250,170,32.00,68.00
2020-08-18,0,2084,3057,973,68.20,31.80
2020-08-18,1,195,278,83,70.10,29.90
2020-08-18,2,80,250,170,32.00,68.00
2020-08-19,0,2084,3057,973,68.20,31.80
2020-08-19,1,195,278,83,70.10,29.90
2020-08-19,2,80,250,170,32.00,68.00
2020-08-20,0,2253,3057,804,73.70,26.30
2020-08-20,1,228,278,50,82.00,18.00
2020-08-20,2,87,250,163,34.80,65.20
2020-08-21,0,2253,3057,804,73.70,26.30
2020-08-21,1,228,278,50,82.00,18.00
2020-08-21,2,87,250,163,34.80,65.20
2020-08-22,0,2253,3057,804,73.70,26.30
2020-08-22,1,228,278,50,82.00,18.00
2020-08-22,2,87,250,163,34.80,65.20
2020-08-23,0,2253,3057,804,73.70,26.30
2020-08-23,1,228,278,50,82.00,18.00
2020-08-23,2,87,250,163,34.80,65.20
2020-08-24,0,2253,3057,804,73.70,26.30
2020-08-24,1,228,278,50,82.00,18.00
2020-08-24,2,87,250,163,34.80,65.20
2020-08-25,0,2253,3057,804,73.70,26.30
2020-08-25,1,228,278,50,82.00,18.00
2020-08-25,2,87,250,163,34.80,65.20
2020-08-26,0,2253,3057,804,73.70,26.30
2020-08-26,1,228,278,50,82.00,18.00
2020-08-26,2,87,250,163,34.80,65.20
2020-08-27,0,2244,3060,816,73.30,26.70
2020-08-27,1,221,278,57,7935.00,20.50
2020-08-27,2,96,243,147,39.50,60.50
2020-08-28,0,2244,3060,816,73.30,26.70
2020-08-28,1,221,278,57,79.35,20.50
2020-08-28,2,96,243,147,39.50,60.50
2020-08-29,0,2244,3060,816,73.30,26.70
2020-08-29,1,221,278,57,79.35,20.50
2020-08-29,2,96,243,147,39.50,60.50
2020-08-30,0,2244,3060,816,73.30,26.70
2020-08-30,1,221,278,57,79.35,20.50
2020-08-30,2,96,243,147,39.50,60.50
2020-08-31,0,2244,3060,816,73.30,26.70
2020-08-31,1,221,278,57,79.35,20.50
2020-08-31,2,96,243,147,39.50,60.50
2020-09-01,0,2244,3060,816,73.30,26.70
2020-09-01,1,221,278,57,79.35,20.50
2020-09-01,2,96,243,147,39.50,60.50
2020-09-02,0,2244,3060,816,73.30,26.70
2020-09-02,1,221,278,57,79.35,20.50
2020-09-02,2,96,243,147,39.50,60.50
2020-09-03,0,2227,3062,835,72.70,27.30
2020-09-03,1,215,278,63,77.30,22.70
2020-09-03,2,82,244,162,33.60,66.40
2020-09-04,0,2227,3062,835,72.70,27.30
2020-09-04,1,215,278,63,77.30,22.70
2020-09-04,2,82,244,162,33.60,66.40
2020-09-05,0,2227,3062,835,72.70,27.30
2020-09-05,1,215,278,63,77.30,22.70
2020-09-05,2,82,244,162,33.60,66.40
