pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
35,Ontario,Ontario,05-03-2020,,22,0.0,0,22,0.0,0,0,0.0,0.0,0.0,2,9.09,0.15,0.0,0,0.0,0.0,0,0,100.0,22,0.15,19,0.13,0,0.0,18,0.12,0,0.0,2.57,0.02,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,05-03-2020,,21,0.0,0,21,0.0,1045,0,0.0,0.0,200.39,9,42.86,0.4,0.0,0,0.0,0.0,355,0,100.0,21,0.4,20,0.38,0,0.0,15,0.29,0,0.0,2.14,0.04,0.0,0.0,0.0
24,Quebec,Québec,05-03-2020,,2,0.0,0,2,0.0,54,0,0.0,0.0,6.28,1,50.0,0.02,0.0,0,0.0,0.0,11,0,100.0,2,0.02,1,0.01,0,0.0,1,0.01,0,0.0,0.14,0.0,0.0,0.0,0.0
1,Canada,Canada,05-03-2020,,45,0.0,0,45,0.0,1099,0,0.0,0.0,28.73,12,26.67,0.12,0.0,0,0.0,0.0,366,0,100.0,45,0.12,41,0.11,0,0.0,35,0.09,0,0.0,5.0,0.01,0.0,0.0,0.0
35,Ontario,Ontario,06-03-2020,,28,0.0,0,28,0.0,0,0,0.0,0.0,0.0,6,21.43,0.19,0.0,0,0.0,0.0,0,0,100.0,28,0.19,25,0.17,0,0.0,24,0.16,0,0.0,3.43,0.02,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,06-03-2020,,21,0.0,0,21,0.0,1313,0,0.0,0.0,251.78,0,0.0,0.4,0.0,0,0.0,0.0,268,0,100.0,21,0.4,20,0.38,0,0.0,14,0.27,0,0.0,2.0,0.04,0.0,0.0,0.0
24,Quebec,Québec,06-03-2020,,2,0.0,0,2,0.0,82,0,0.0,0.0,9.53,0,0.0,0.02,0.0,0,0.0,0.0,28,0,100.0,2,0.02,1,0.01,0,0.0,1,0.01,0,0.0,0.14,0.0,0.0,0.0,0.0
1,Canada,Canada,06-03-2020,,51,0.0,0,51,0.0,1395,0,0.0,0.0,36.47,6,11.76,0.13,0.0,0,0.0,0.0,296,0,100.0,51,0.13,47,0.12,0,0.0,40,0.1,0,0.0,5.71,0.01,0.0,0.0,0.0
35,Ontario,Ontario,07-03-2020,,28,0.0,0,28,0.0,0,0,0.0,0.0,0.0,0,0.0,0.19,0.0,0,0.0,0.0,0,0,100.0,28,0.19,25,0.17,0,0.0,23,0.16,0,0.0,3.29,0.02,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,07-03-2020,,27,0.0,0,27,0.0,1655,0,0.0,0.0,317.37,6,22.22,0.52,0.0,0,0.0,0.0,342,0,100.0,27,0.52,26,0.5,0,0.0,20,0.38,0,0.0,2.86,0.05,0.0,0.0,0.0
24,Quebec,Québec,07-03-2020,,2,0.0,0,2,0.0,112,0,0.0,0.0,13.02,0,0.0,0.02,0.0,0,0.0,0.0,30,0,100.0,2,0.02,1,0.01,0,0.0,1,0.01,0,0.0,0.14,0.0,0.0,0.0,0.0
1,Canada,Canada,07-03-2020,,57,0.0,0,57,0.0,1767,0,0.0,0.0,46.2,6,10.53,0.15,0.0,0,0.0,0.0,372,0,100.0,57,0.15,53,0.14,0,0.0,45,0.12,0,0.0,6.43,0.02,0.0,0.0,0.0
35,Ontario,Ontario,08-03-2020,,31,0.0,0,31,0.0,0,0,0.0,0.0,0.0,3,9.68,0.21,0.0,0,0.0,0.0,0,0,100.0,31,0.21,28,0.19,0,0.0,25,0.17,0,0.0,3.57,0.02,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,08-03-2020,,27,0.0,1,27,0.0,2478,0,0.0,0.0,475.19,0,0.0,0.52,0.02,1,3.7,0.0,823,0,96.3,26,0.5,26,0.5,1,0.02,20,0.38,1,0.02,2.86,0.05,0.0,0.0,0.0
24,Quebec,Québec,08-03-2020,,3,0.0,0,3,0.0,161,0,0.0,0.0,18.71,1,33.33,0.03,0.0,0,0.0,0.0,49,0,100.0,3,0.03,2,0.02,0,0.0,2,0.02,0,0.0,0.29,0.0,0.0,0.0,0.0
48,Alberta,Alberta,08-03-2020,,1,0.0,0,1,0.0,60,0,0.0,0.0,13.5,0,0.0,0.02,0.0,0,0.0,0.0,0,0,100.0,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Canada,Canada,08-03-2020,,62,0.0,1,62,0.0,2699,0,0.0,0.0,70.57,5,8.06,0.16,0.0,1,1.61,0.0,932,0,98.39,61,0.16,58,0.15,1,0.0,49,0.13,1,0.0,7.0,0.02,0.0,0.0,0.0
35,Ontario,Ontario,09-03-2020,,34,0.0,0,34,0.0,0,0,0.0,0.0,0.0,3,8.82,0.23,0.0,0,0.0,0.0,0,0,100.0,34,0.23,31,0.21,0,0.0,26,0.18,0,0.0,3.71,0.03,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,09-03-2020,,32,0.0,1,32,0.0,2989,0,0.0,0.0,573.18,5,15.62,0.61,0.02,0,3.12,0.0,511,0,96.88,31,0.59,28,0.54,1,0.02,25,0.48,1,0.02,3.57,0.07,0.0,0.0,0.0
24,Quebec,Québec,09-03-2020,,4,0.0,0,4,0.0,201,0,0.0,0.0,23.36,1,25.0,0.05,0.0,0,0.0,0.0,40,0,100.0,4,0.05,3,0.03,0,0.0,3,0.03,0,0.0,0.43,0.0,0.0,0.0,0.0
48,Alberta,Alberta,09-03-2020,,7,0.0,0,7,0.0,341,0,0.0,0.0,76.75,6,85.71,0.16,0.0,0,0.0,0.0,281,0,100.0,7,0.16,6,0.14,0,0.0,6,0.14,0,0.0,0.86,0.02,0.0,0.0,0.0
1,Canada,Canada,09-03-2020,,77,0.0,1,77,0.0,3531,0,0.0,0.0,92.32,15,19.48,0.2,0.0,0,1.3,0.0,832,0,98.7,76,0.2,70,0.18,1,0.0,62,0.16,1,0.0,8.86,0.02,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,11-03-2020,,39,0.0,1,39,4373.0,3545,0,0.0,838.57,679.8,7,17.95,0.75,0.02,0,2.56,4373.0,556,0,97.44,38,0.73,34,0.65,1,0.02,31,0.59,1,0.02,4.43,0.08,0.0,0.0,0.0
48,Alberta,Alberta,11-03-2020,,14,0.0,0,14,1969.0,984,0,0.0,443.18,221.48,7,50.0,0.32,0.0,0,0.0,1969.0,643,0,100.0,14,0.32,13,0.29,0,0.0,13,0.29,0,0.0,1.86,0.04,0.0,0.0,0.0
47,Saskatchewan,Saskatchewan,11-03-2020,,0,0.0,0,0,204.0,0,0,0.0,172.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,Manitoba,Manitoba,11-03-2020,,0,0.0,0,0,352.0,13,0,0.0,254.38,9.39,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,Ontario,Ontario,11-03-2020,,42,0.0,0,42,3394.0,0,0,0.0,228.92,0.0,8,19.05,0.28,0.0,0,0.0,3394.0,0,0,100.0,42,0.28,39,0.26,0,0.0,27,0.18,0,0.0,3.86,0.03,0.0,0.0,0.0
24,Quebec,Québec,11-03-2020,,7,0.0,0,7,556.0,266,0,0.0,64.62,30.91,3,42.86,0.08,0.0,0,0.0,556.0,65,0,100.0,7,0.08,6,0.07,0,0.0,6,0.07,0,0.0,0.86,0.01,0.0,0.0,0.0
13,New Brunswick,Nouveau-Brunswick,11-03-2020,,0,0.0,0,0,22.0,6,0,0.0,27.88,7.6,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,,0,0.0,0,0,44.0,4,0,0.0,84.53,7.68,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,,0,0.0,0,0,103.0,3,0,0.0,103.82,3.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,,0,0.0,0,0,6.0,0,0,0.0,36.51,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,,0,0.0,0,0,0.0,2,0,0.0,0.0,43.95,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,Nunavut,Nunavut,11-03-2020,,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,Yukon,Yukon,11-03-2020,,0,0.0,0,0,0.0,23,0,0.0,0.0,535.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,,1,0.0,0,1,29.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,100.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Canada,Canada,11-03-2020,,103,0.0,1,103,11052.0,4846,0,0.0,288.97,126.71,26,25.24,0.27,0.0,0,0.97,11052.0,1315,0,99.03,102,0.27,95,0.25,1,0.0,79,0.21,1,0.0,11.29,0.03,0.0,0.0,0.0
