pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numtotal,numtotal_last7,ratecases_total,numconf,numprob,numtests,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,11,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,14-03-2020,11,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,11,2020,,2,2,,,,,0,0,,,,2,0,,,0.29,,0,
1,Canada,Canada,14-03-2020,11,2020,,209,148,0.55,,,,1,1,0,0.39,0,194,1,0.51,0,21.21,0.06,0.14,0
59,British Columbia,Colombie-Britannique,21-03-2020,12,2020,1,424,360,8.14,,,,10,9,0.19,6.9,0.17,397,10,7.61,0.19,51.43,0.99,1.29,0.02
48,Alberta,Alberta,21-03-2020,12,2020,1,236,191,5.32,,,,1,1,0.03,4.3,0.03,232,1,5.23,0.03,27.29,0.61,0.16,0
47,Saskatchewan,Saskatchewan,21-03-2020,12,2020,1,44,42,3.73,,,,0,0,0,3.56,0,44,0,3.73,0,6,0.51,0,0
46,Manitoba,Manitoba,21-03-2020,12,2020,1,19,15,1.37,,,,0,0,0,1.08,0,19,0,1.37,0,2.14,0.15,0,0
35,Ontario,Ontario,21-03-2020,12,2020,1,377,298,2.54,,,,0,0,0,2.01,0,349,0,2.35,0,42.57,0.29,0,0
24,Quebec,Québec,21-03-2020,12,2020,1,304,296,3.53,,,,2,2,0.03,3.45,0.03,303,2,3.52,0.03,42.36,0.49,0.36,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-03-2020,12,2020,1,6,6,1.15,,,,0,0,0,1.15,0,6,0,1.15,0,0.86,0.16,0,0
13,New Brunswick,Nouveau-Brunswick,21-03-2020,12,2020,1,17,15,2.15,,,,0,0,0,1.9,0,17,0,2.15,0,2.14,0.27,0,0
12,Nova Scotia,Nouvelle-Écosse,21-03-2020,12,2020,1,30,28,3.04,,,,0,0,0,2.82,0,30,0,3.04,0,4,0.4,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,21-03-2020,12,2020,1,2,2,1.3,,,,0,0,0,0.96,0,2,0,1.3,0,0.22,0.14,0,0
60,Yukon,Yukon,21-03-2020,12,2020,1,1,1,1.55,,,,0,0,0,1.55,0,1,0,1.55,0,0.1,0.22,0,0
61,Northwest Territories,Territoires du Nord-Ouest,21-03-2020,12,2020,1,1,1,1.57,,,,0,0,0,1.57,0,1,0,1.57,0,0.1,0.22,0,0
62,Nunavut,Nunavut,21-03-2020,12,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,21-03-2020,12,2020,,13,11,,,,,0,0,,,,13,0,,,1.57,,0,
1,Canada,Canada,21-03-2020,12,2020,,1474,1265,3.85,,,,14,13,0.04,3.31,0.03,1414,14,3.7,0.04,180.78,0.47,1.81,0
59,British Columbia,Colombie-Britannique,28-03-2020,13,2020,1,884,460,16.96,,,,16,6,0.31,8.82,0.12,820,15,15.72,0.29,65.71,1.26,0.86,0.02
48,Alberta,Alberta,28-03-2020,13,2020,1,584,348,13.15,,,,6,5,0.14,7.83,0.11,539,6,12.13,0.14,49.71,1.12,0.69,0.02
47,Saskatchewan,Saskatchewan,28-03-2020,13,2020,1,134,90,11.36,,,,0,0,0,7.63,0,132,0,11.19,0,12.86,1.09,0,0
46,Manitoba,Manitoba,28-03-2020,13,2020,1,64,45,4.63,,,,1,1,0.07,3.25,0.07,60,1,4.34,0.07,6.43,0.46,0.14,0.01
35,Ontario,Ontario,28-03-2020,13,2020,1,993,616,6.7,,,,0,0,0,4.15,0,914,0,6.16,0,88,0.59,0,0
24,Quebec,Québec,28-03-2020,13,2020,1,2416,2112,28.07,,,,20,18,0.23,24.54,0.2,2408,20,27.99,0.23,301.64,3.51,2.5,0.03
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,28-03-2020,13,2020,1,120,114,23.05,,,,0,0,0.08,21.9,0.08,120,0,23.05,0.08,16.29,3.13,0.06,0.01
13,New Brunswick,Nouveau-Brunswick,28-03-2020,13,2020,1,51,34,6.46,,,,0,0,0,4.31,0,49,0,6.21,0,4.86,0.62,0,0
12,Nova Scotia,Nouvelle-Écosse,28-03-2020,13,2020,1,102,72,10.32,,,,0,0,0,7.29,0,100,0,10.11,0,10.33,1.04,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,28-03-2020,13,2020,1,13,11,8.09,,,,0,0,0,6.78,0,13,0,7.74,0,1.59,0.97,0,0
60,Yukon,Yukon,28-03-2020,13,2020,1,4,3,8.53,,,,0,0,0,6.98,0,4,0,8.53,0,0.43,1,0,0
61,Northwest Territories,Territoires du Nord-Ouest,28-03-2020,13,2020,1,1,0,2.2,,,,0,0,0,0.63,0,1,0,2.2,0,0.04,0.09,0,0
62,Nunavut,Nunavut,28-03-2020,13,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,28-03-2020,13,2020,,13,0,,,,,0,0,,,,11,0,,,0,,0,
1,Canada,Canada,28-03-2020,13,2020,,5379,3905,14.07,,,,43,30,0.11,10.21,0.08,5171,42,13.52,0.11,557.89,1.46,4.26,0.01
59,British Columbia,Colombie-Britannique,04-04-2020,14,2020,1,1203,319,23.07,,,,38,22,0.73,6.12,0.42,779,28,14.94,0.54,45.57,0.87,3.14,0.06
48,Alberta,Alberta,04-04-2020,14,2020,1,1108,523,24.93,,,,19,13,0.42,11.78,0.29,871,18,19.61,0.4,74.78,1.68,1.82,0.04
47,Saskatchewan,Saskatchewan,04-04-2020,14,2020,1,231,97,19.58,,,,3,3,0.25,8.22,0.25,187,3,15.85,0.25,13.86,1.17,0.43,0.04
46,Manitoba,Manitoba,04-04-2020,14,2020,1,194,130,14.02,,,,2,1,0.14,9.39,0.07,175,2,12.65,0.14,18.57,1.34,0.14,0.01
35,Ontario,Ontario,04-04-2020,14,2020,1,3630,2637,24.48,,,,94,94,0.63,17.79,0.63,3253,94,21.94,0.63,376.71,2.54,13.43,0.09
24,Quebec,Québec,04-04-2020,14,2020,1,6690,4275,77.76,,,,78,58,0.9,49.68,0.67,6386,75,74.22,0.87,610.71,7.1,8.21,0.1
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,04-04-2020,14,2020,1,195,75,37.46,,,,1,1,0.27,14.41,0.19,189,1,36.31,0.27,10.71,2.06,0.14,0.03
13,New Brunswick,Nouveau-Brunswick,04-04-2020,14,2020,1,98,47,12.42,,,,0,0,0,5.96,0,81,0,10.26,0,6.71,0.85,0,0
12,Nova Scotia,Nouvelle-Écosse,04-04-2020,14,2020,1,246,143,24.75,,,,0,0,0,14.43,0,215,0,21.72,0,20.45,2.06,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,04-04-2020,14,2020,1,22,8,13.13,,,,0,0,0,5.04,0,19,0,11.82,0,1.18,0.72,0,0
60,Yukon,Yukon,04-04-2020,14,2020,1,6,3,14.73,,,,0,0,0,6.2,0,6,0,13.18,0,0.38,0.89,0,0
61,Northwest Territories,Territoires du Nord-Ouest,04-04-2020,14,2020,1,4,3,8.48,,,,0,0,0,6.28,0,3,0,6.91,0,0.41,0.9,0,0
62,Nunavut,Nunavut,04-04-2020,14,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,04-04-2020,14,2020,,13,0,,,,,0,0,,,,0,0,,,0,,0,
